,num_chunks,times,drop_num_used
0,1000,0,1873
1,1000,1,1947
2,1000,2,1993
3,1000,3,1954
4,1000,4,1777
5,1000,5,1990
6,1000,6,1834
7,1000,7,1558
8,1000,8,1811
9,1000,9,1889
10,1000,10,2044
11,1000,11,1739
12,1000,12,1854
13,1000,13,1753
14,1000,14,1833
15,1000,15,1734
16,1000,16,1812
17,1000,17,1856
18,1000,18,1755
19,1000,19,1986
20,1000,20,2014
21,1000,21,1801
22,1000,22,2142
23,1000,23,1861
24,1000,24,1905
25,1000,25,2022
26,1000,26,2216
27,1000,27,1781
28,1000,28,1799
29,1000,29,1912
30,1000,30,2171
31,1000,31,2015
32,1000,32,1855
33,1000,33,1997
34,1000,34,2157
35,1000,35,2062
36,1000,36,1919
37,1000,37,1956
38,1000,38,1979
39,1000,39,2032
40,1000,40,1767
41,1000,41,1497
42,1000,42,1625
43,1000,43,2110
44,1000,44,2048
45,1000,45,1892
46,1000,46,1908
47,1000,47,1875
48,1000,48,2002
49,1000,49,1694
50,1000,50,1990
51,1000,51,1850
52,1000,52,1905
53,1000,53,1740
54,1000,54,2146
55,1000,55,1911
56,1000,56,1937
57,1000,57,1872
58,1000,58,1888
59,1000,59,1868
60,1000,60,1912
61,1000,61,1876
62,1000,62,1944
63,1000,63,2245
64,1000,64,1915
65,1000,65,1899
66,1000,66,1819
67,1000,67,2155
68,1000,68,1906
69,1000,69,2096
70,1000,70,1852
71,1000,71,1973
72,1000,72,1930
73,1000,73,1936
74,1000,74,1837
75,1000,75,1988
76,1000,76,2004
77,1000,77,1974
78,1000,78,1887
79,1000,79,1896
80,1000,80,1883
81,1000,81,1876
82,1000,82,1901
83,1000,83,1963
84,1000,84,1944
85,1000,85,1923
86,1000,86,1956
87,1000,87,1992
88,1000,88,1898
89,1000,89,1955
90,1000,90,2066
91,1000,91,1751
92,1000,92,1936
93,1000,93,1901
94,1000,94,1659
95,1000,95,1699
96,1000,96,1948
97,1000,97,1912
98,1000,98,1924
99,1000,99,1885
100,1000,100,2147
101,1000,101,1971
102,1000,102,1941
103,1000,103,1921
104,1000,104,1949
105,1000,105,1957
106,1000,106,1850
107,1000,107,2610
108,1000,108,2068
109,1000,109,2019
110,1000,110,1636
111,1000,111,1843
112,1000,112,1937
113,1000,113,2026
114,1000,114,1956
115,1000,115,1975
116,1000,116,1950
117,1000,117,1602
118,1000,118,1889
119,1000,119,1841
120,1000,120,2102
121,1000,121,2051
122,1000,122,1877
123,1000,123,1982
124,1000,124,1629
125,1000,125,1802
126,1000,126,1761
127,1000,127,2068
128,1000,128,1912
129,1000,129,1584
130,1000,130,1669
131,1000,131,1718
132,1000,132,1867
133,1000,133,1918
134,1000,134,1969
135,1000,135,1775
136,1000,136,2021
137,1000,137,1970
138,1000,138,1894
139,1000,139,1937
140,1000,140,1890
141,1000,141,1767
142,1000,142,1937
143,1000,143,1870
144,1000,144,1908
145,1000,145,1764
146,1000,146,1829
147,1000,147,1723
148,1000,148,1750
149,1000,149,1930
150,1000,150,1956
151,1000,151,1926
152,1000,152,1869
153,1000,153,2204
154,1000,154,1759
155,1000,155,1758
156,1000,156,1802
157,1000,157,2008
158,1000,158,1945
159,1000,159,1896
160,1000,160,1848
161,1000,161,1988
162,1000,162,1831
163,1000,163,2032
164,1000,164,1972
165,1000,165,1904
166,1000,166,1893
167,1000,167,1822
168,1000,168,1778
169,1000,169,1801
170,1000,170,1874
171,1000,171,1873
172,1000,172,1740
173,1000,173,1824
174,1000,174,2018
175,1000,175,1981
176,1000,176,1800
177,1000,177,1882
178,1000,178,1873
179,1000,179,1860
180,1000,180,1792
181,1000,181,2188
182,1000,182,1942
183,1000,183,1972
184,1000,184,1845
185,1000,185,1889
186,1000,186,1875
187,1000,187,2092
188,1000,188,2078
189,1000,189,2023
190,1000,190,2655
191,1000,191,2002
192,1000,192,2011
193,1000,193,1944
194,1000,194,2030
195,1000,195,1949
196,1000,196,1831
197,1000,197,1798
198,1000,198,1897
199,1000,199,2026
