,num_chunks,times,drop_num_used
0,550,0,1012
1,550,1,1122
2,550,2,987
3,550,3,933
4,550,4,1053
5,550,5,1159
6,550,6,943
7,550,7,939
8,550,8,945
9,550,9,1024
10,550,10,965
11,550,11,945
12,550,12,1187
13,550,13,992
14,550,14,1137
15,550,15,1068
16,550,16,933
17,550,17,1097
18,550,18,937
19,550,19,1047
20,550,20,1087
21,550,21,1266
22,550,22,1027
23,550,23,923
24,550,24,893
25,550,25,1159
26,550,26,1059
27,550,27,939
28,550,28,1026
29,550,29,1017
30,550,30,1067
31,550,31,1038
32,550,32,981
33,550,33,944
34,550,34,1090
35,550,35,1221
36,550,36,974
37,550,37,1054
38,550,38,1076
39,550,39,979
40,550,40,1163
41,550,41,1099
42,550,42,1006
43,550,43,1215
44,550,44,1036
45,550,45,1021
46,550,46,1313
47,550,47,1004
48,550,48,1085
49,550,49,1109
50,550,50,1209
51,550,51,922
52,550,52,1047
53,550,53,1297
54,550,54,1034
55,550,55,1114
56,550,56,1111
57,550,57,960
58,550,58,1043
59,550,59,1011
60,550,60,1034
61,550,61,1225
62,550,62,878
63,550,63,1089
64,550,64,1081
65,550,65,978
66,550,66,1149
67,550,67,1060
68,550,68,1083
69,550,69,1263
70,550,70,1106
71,550,71,1038
72,550,72,896
73,550,73,1083
74,550,74,999
75,550,75,1155
76,550,76,1115
77,550,77,939
78,550,78,1075
79,550,79,1009
80,550,80,867
81,550,81,1015
82,550,82,1035
83,550,83,907
84,550,84,1135
85,550,85,1115
86,550,86,1040
87,550,87,1056
88,550,88,1130
89,550,89,995
90,550,90,1055
91,550,91,862
92,550,92,1027
93,550,93,1118
94,550,94,1008
95,550,95,1242
96,550,96,883
97,550,97,1049
98,550,98,902
99,550,99,963
100,550,100,1031
101,550,101,1201
102,550,102,884
103,550,103,1219
104,550,104,1090
105,550,105,1077
106,550,106,940
107,550,107,1096
108,550,108,1066
109,550,109,1035
110,550,110,1350
111,550,111,1154
112,550,112,1157
113,550,113,967
114,550,114,1096
115,550,115,1213
116,550,116,1086
117,550,117,1027
118,550,118,1134
119,550,119,898
120,550,120,1222
121,550,121,1119
122,550,122,1049
123,550,123,1073
124,550,124,1209
125,550,125,963
126,550,126,909
127,550,127,1065
128,550,128,925
129,550,129,1006
130,550,130,944
131,550,131,966
132,550,132,1217
133,550,133,1135
134,550,134,1060
135,550,135,1020
136,550,136,1190
137,550,137,1060
138,550,138,987
139,550,139,964
140,550,140,966
141,550,141,1075
142,550,142,1141
143,550,143,1187
144,550,144,1130
145,550,145,891
146,550,146,1059
147,550,147,1064
148,550,148,1069
149,550,149,982
150,550,150,1141
151,550,151,889
152,550,152,1220
153,550,153,946
154,550,154,1107
155,550,155,1050
156,550,156,1052
157,550,157,1204
158,550,158,1099
159,550,159,1106
160,550,160,1120
161,550,161,1186
162,550,162,1162
163,550,163,853
164,550,164,1013
165,550,165,1089
166,550,166,980
167,550,167,946
168,550,168,1297
169,550,169,924
170,550,170,999
171,550,171,1081
172,550,172,876
173,550,173,1144
174,550,174,1157
175,550,175,990
176,550,176,881
177,550,177,1051
178,550,178,881
179,550,179,938
180,550,180,1078
181,550,181,913
182,550,182,1012
183,550,183,1035
184,550,184,1049
185,550,185,1095
186,550,186,963
187,550,187,1108
188,550,188,1135
189,550,189,1028
190,550,190,932
191,550,191,1221
192,550,192,1039
193,550,193,1200
194,550,194,1091
195,550,195,927
196,550,196,1107
197,550,197,1129
198,550,198,991
199,550,199,1083
