,num_chunks,times,drop_num_used
0,1000,0,1218
1,1000,1,1248
2,1000,2,1272
3,1000,3,1261
4,1000,4,1232
5,1000,5,1288
6,1000,6,1230
7,1000,7,1262
8,1000,8,1200
9,1000,9,1246
10,1000,10,1245
11,1000,11,1244
12,1000,12,1211
13,1000,13,1799
14,1000,14,1294
15,1000,15,1314
16,1000,16,1307
17,1000,17,1238
18,1000,18,1277
19,1000,19,1194
20,1000,20,1260
21,1000,21,1226
22,1000,22,1587
23,1000,23,1198
24,1000,24,1218
25,1000,25,1214
26,1000,26,1164
27,1000,27,1296
28,1000,28,1223
29,1000,29,1272
30,1000,30,1249
31,1000,31,1213
32,1000,32,1207
33,1000,33,1306
34,1000,34,1271
35,1000,35,1304
36,1000,36,1201
37,1000,37,1274
38,1000,38,1236
39,1000,39,1181
40,1000,40,1228
41,1000,41,1291
42,1000,42,1220
43,1000,43,1253
44,1000,44,1170
45,1000,45,1272
46,1000,46,1189
47,1000,47,1216
48,1000,48,1190
49,1000,49,1237
50,1000,50,1256
51,1000,51,1216
52,1000,52,1203
53,1000,53,1227
54,1000,54,1228
55,1000,55,1358
56,1000,56,1277
57,1000,57,1170
58,1000,58,1202
59,1000,59,1263
60,1000,60,1242
61,1000,61,1219
62,1000,62,1195
63,1000,63,1284
64,1000,64,1298
65,1000,65,1230
66,1000,66,1232
67,1000,67,1240
68,1000,68,1252
69,1000,69,1276
70,1000,70,1215
71,1000,71,1191
72,1000,72,1273
73,1000,73,1254
74,1000,74,1214
75,1000,75,1263
76,1000,76,1268
77,1000,77,1260
78,1000,78,1261
79,1000,79,1221
80,1000,80,1229
81,1000,81,1226
82,1000,82,1195
83,1000,83,1235
84,1000,84,1234
85,1000,85,1224
86,1000,86,1269
87,1000,87,1246
88,1000,88,1186
89,1000,89,1160
90,1000,90,1219
91,1000,91,1317
92,1000,92,1224
93,1000,93,1278
94,1000,94,1241
95,1000,95,1267
96,1000,96,1213
97,1000,97,1251
98,1000,98,1229
99,1000,99,1238
