,num_chunks,times,drop_num_used
0,50,0,99
1,50,1,118
2,50,2,94
3,50,3,107
4,50,4,103
5,50,5,82
6,50,6,94
7,50,7,97
8,50,8,88
9,50,9,128
10,50,10,110
11,50,11,92
12,50,12,108
13,50,13,91
14,50,14,109
15,50,15,104
16,50,16,112
17,50,17,86
18,50,18,99
19,50,19,120
20,50,20,110
21,50,21,86
22,50,22,121
23,50,23,88
24,50,24,91
25,50,25,110
26,50,26,106
27,50,27,106
28,50,28,83
29,50,29,132
30,50,30,105
31,50,31,81
32,50,32,90
33,50,33,115
34,50,34,82
35,50,35,94
36,50,36,82
37,50,37,99
38,50,38,79
39,50,39,109
40,50,40,101
41,50,41,96
42,50,42,100
43,50,43,126
44,50,44,116
45,50,45,91
46,50,46,87
47,50,47,81
48,50,48,87
49,50,49,82
50,50,50,95
51,50,51,92
52,50,52,108
53,50,53,82
54,50,54,106
55,50,55,76
56,50,56,104
57,50,57,73
58,50,58,105
59,50,59,90
60,50,60,93
61,50,61,92
62,50,62,102
63,50,63,126
64,50,64,101
65,50,65,100
66,50,66,111
67,50,67,77
68,50,68,85
69,50,69,122
70,50,70,87
71,50,71,113
72,50,72,104
73,50,73,97
74,50,74,109
75,50,75,112
76,50,76,82
77,50,77,94
78,50,78,84
79,50,79,90
80,50,80,108
81,50,81,97
82,50,82,84
83,50,83,94
84,50,84,85
85,50,85,97
86,50,86,118
87,50,87,91
88,50,88,108
89,50,89,116
90,50,90,79
91,50,91,100
92,50,92,90
93,50,93,93
94,50,94,79
95,50,95,94
96,50,96,83
97,50,97,117
98,50,98,100
99,50,99,77
