,num_chunks,times,drop_num_used
0,115,0,192
1,115,1,181
2,115,2,188
3,115,3,164
4,115,4,199
5,115,5,179
6,115,6,199
7,115,7,214
8,115,8,204
9,115,9,204
10,115,10,212
11,115,11,216
12,115,12,206
13,115,13,192
14,115,14,236
15,115,15,184
16,115,16,190
17,115,17,169
18,115,18,221
19,115,19,183
20,115,20,187
21,115,21,228
22,115,22,174
23,115,23,204
24,115,24,222
25,115,25,229
26,115,26,195
27,115,27,206
28,115,28,179
29,115,29,191
30,115,30,213
31,115,31,225
32,115,32,192
33,115,33,202
34,115,34,214
35,115,35,201
36,115,36,220
37,115,37,235
38,115,38,197
39,115,39,189
40,115,40,173
41,115,41,211
42,115,42,211
43,115,43,178
44,115,44,228
45,115,45,174
46,115,46,204
47,115,47,182
48,115,48,186
49,115,49,188
50,115,50,182
51,115,51,195
52,115,52,191
53,115,53,198
54,115,54,185
55,115,55,162
56,115,56,174
57,115,57,224
58,115,58,206
59,115,59,192
60,115,60,222
61,115,61,247
62,115,62,188
63,115,63,207
64,115,64,177
65,115,65,206
66,115,66,219
67,115,67,168
68,115,68,199
69,115,69,188
70,115,70,195
71,115,71,208
72,115,72,185
73,115,73,199
74,115,74,183
75,115,75,208
76,115,76,187
77,115,77,184
78,115,78,200
79,115,79,181
80,115,80,223
81,115,81,158
82,115,82,175
83,115,83,182
84,115,84,179
85,115,85,189
86,115,86,204
87,115,87,191
88,115,88,210
89,115,89,188
90,115,90,167
91,115,91,209
92,115,92,169
93,115,93,212
94,115,94,208
95,115,95,179
96,115,96,180
97,115,97,208
98,115,98,221
99,115,99,194
