,num_chunks,times,drop_num_used
0,650,0,855
1,650,1,867
2,650,2,895
3,650,3,879
4,650,4,880
5,650,5,825
6,650,6,806
7,650,7,811
8,650,8,876
9,650,9,872
10,650,10,885
11,650,11,828
12,650,12,875
13,650,13,898
14,650,14,853
15,650,15,862
16,650,16,860
17,650,17,844
18,650,18,843
19,650,19,913
20,650,20,893
21,650,21,865
22,650,22,811
23,650,23,837
24,650,24,841
25,650,25,843
26,650,26,824
27,650,27,859
28,650,28,883
29,650,29,860
30,650,30,892
31,650,31,836
32,650,32,881
33,650,33,843
34,650,34,843
35,650,35,837
36,650,36,858
37,650,37,785
38,650,38,844
39,650,39,802
40,650,40,806
41,650,41,892
42,650,42,895
43,650,43,917
44,650,44,818
45,650,45,845
46,650,46,856
47,650,47,801
48,650,48,859
49,650,49,830
50,650,50,938
51,650,51,852
52,650,52,829
53,650,53,796
54,650,54,811
55,650,55,889
56,650,56,842
57,650,57,856
58,650,58,887
59,650,59,862
60,650,60,826
61,650,61,905
62,650,62,802
63,650,63,868
64,650,64,827
65,650,65,799
66,650,66,836
67,650,67,938
68,650,68,852
69,650,69,825
70,650,70,846
71,650,71,874
72,650,72,842
73,650,73,853
74,650,74,801
75,650,75,835
76,650,76,815
77,650,77,864
78,650,78,884
79,650,79,849
80,650,80,858
81,650,81,877
82,650,82,853
83,650,83,805
84,650,84,874
85,650,85,796
86,650,86,880
87,650,87,846
88,650,88,910
89,650,89,817
90,650,90,827
91,650,91,826
92,650,92,804
93,650,93,846
94,650,94,805
95,650,95,819
96,650,96,848
97,650,97,845
98,650,98,832
99,650,99,811
