,num_chunks,times,w1_drop_num,w2_drop_num
0,850,0,872,1049
1,850,1,809,1044
2,850,2,825,1020
3,850,3,839,1044
4,850,4,826,1048
5,850,5,888,1092
6,850,6,846,1048
7,850,7,987,1146
8,850,8,854,1033
9,850,9,870,1069
10,850,10,827,1045
11,850,11,846,1010
12,850,12,870,1091
13,850,13,881,1056
14,850,14,813,1030
15,850,15,835,1039
16,850,16,829,1032
17,850,17,939,1116
18,850,18,819,1048
19,850,19,822,1021
20,850,20,962,1134
21,850,21,820,1049
22,850,22,827,1028
23,850,23,868,1074
24,850,24,832,1055
25,850,25,901,1072
26,850,26,827,1057
27,850,27,852,1083
28,850,28,863,1092
29,850,29,900,1091
30,850,30,836,1065
31,850,31,862,1069
32,850,32,877,1070
33,850,33,850,1055
34,850,34,942,1091
35,850,35,845,1052
36,850,36,927,1102
37,850,37,893,1086
38,850,38,827,1047
39,850,39,885,1069
40,850,40,834,1040
41,850,41,877,1046
42,850,42,836,1035
43,850,43,846,1046
44,850,44,884,1096
45,850,45,847,1037
46,850,46,811,1061
47,850,47,821,1026
48,850,48,929,1122
49,850,49,834,1055
50,850,50,837,1046
51,850,51,835,1011
52,850,52,830,1058
53,850,53,874,1078
54,850,54,855,1041
55,850,55,895,1124
56,850,56,861,1063
57,850,57,993,1149
58,850,58,832,1042
59,850,59,913,1105
60,850,60,894,1093
61,850,61,871,1048
62,850,62,852,1059
63,850,63,856,1067
64,850,64,811,1020
65,850,65,945,1100
66,850,66,1016,1141
67,850,67,892,1097
68,850,68,803,1008
69,850,69,811,1013
70,850,70,855,1094
71,850,71,880,1079
72,850,72,791,1030
73,850,73,872,1070
74,850,74,971,1140
75,850,75,839,1040
76,850,76,870,1039
77,850,77,834,1027
78,850,78,847,1080
79,850,79,877,1090
80,850,80,851,1052
81,850,81,883,1082
82,850,82,942,1109
83,850,83,855,1070
84,850,84,787,1046
85,850,85,894,1062
86,850,86,880,1055
87,850,87,916,1108
88,850,88,893,1126
89,850,89,825,1065
90,850,90,985,1158
91,850,91,816,1050
92,850,92,959,1137
93,850,93,891,1120
94,850,94,926,1125
95,850,95,872,1057
96,850,96,821,1050
97,850,97,866,1095
98,850,98,912,1114
99,850,99,911,1085
