,K,w1_avg_drops,w2_avg_drops,feedback_packet_avgs
0,50,68.68,99.04,1.13
1,100,125.97,170.96,1.5
2,150,182.46,237.3,1.85
3,200,231.31,303.19,2.38
4,250,288.34,370.18,2.71
5,300,334.77,430.01,3.18
6,350,387.79,494.44,3.57
7,400,436.16,551.51,3.92
8,450,490.78,613.67,4.12
9,500,533.97,670.13,4.57
10,550,595.43,740.62,4.84
11,600,636.62,794.39,5.35
12,650,683.98,848.8,5.54
13,700,726.51,900.69,5.86
14,750,787.84,963.73,5.93
15,800,834.55,1022.35,6.32
16,850,868.09,1069.04,6.77
17,900,930.23,1134.77,6.89
18,950,979.5,1191.86,7.13
19,1000,1008.34,1235.09,7.59
