,num_chunks,times,drop_num_used
0,450,0,1226
1,450,1,1081
2,450,2,1181
3,450,3,1120
4,450,4,934
5,450,5,1275
6,450,6,964
7,450,7,929
8,450,8,1040
9,450,9,1054
10,450,10,1024
11,450,11,1011
12,450,12,1032
13,450,13,1177
14,450,14,1139
15,450,15,1045
16,450,16,1032
17,450,17,1081
18,450,18,1050
19,450,19,1099
20,450,20,998
21,450,21,1159
22,450,22,1158
23,450,23,1161
24,450,24,1304
25,450,25,1028
26,450,26,1018
27,450,27,1159
28,450,28,1114
29,450,29,928
30,450,30,990
31,450,31,953
32,450,32,915
33,450,33,1020
34,450,34,1050
35,450,35,1174
36,450,36,1189
37,450,37,1068
38,450,38,1104
39,450,39,942
40,450,40,1176
41,450,41,1033
42,450,42,1115
43,450,43,930
44,450,44,1142
45,450,45,1185
46,450,46,1219
47,450,47,1068
48,450,48,1162
49,450,49,1221
50,450,50,1003
51,450,51,979
52,450,52,1034
53,450,53,1097
54,450,54,1178
55,450,55,994
56,450,56,983
57,450,57,1001
58,450,58,944
59,450,59,989
60,450,60,1102
61,450,61,958
62,450,62,935
63,450,63,1205
64,450,64,871
65,450,65,1079
66,450,66,862
67,450,67,1142
68,450,68,1055
69,450,69,1101
70,450,70,1026
71,450,71,1058
72,450,72,1061
73,450,73,1148
74,450,74,1300
75,450,75,1162
76,450,76,1006
77,450,77,985
78,450,78,979
79,450,79,1048
80,450,80,1170
81,450,81,1001
82,450,82,1014
83,450,83,1068
84,450,84,995
85,450,85,1028
86,450,86,1082
87,450,87,1081
88,450,88,1035
89,450,89,1048
90,450,90,1357
91,450,91,1074
92,450,92,1120
93,450,93,1099
94,450,94,1299
95,450,95,1067
96,450,96,1093
97,450,97,999
98,450,98,1132
99,450,99,1011
