,num_chunks,times,drop_num_used
0,750,0,1765
1,750,1,1621
2,750,2,1849
3,750,3,1687
4,750,4,1856
5,750,5,1769
6,750,6,1953
7,750,7,1858
8,750,8,1526
9,750,9,1875
10,750,10,1958
11,750,11,1622
12,750,12,1814
13,750,13,1789
14,750,14,1777
15,750,15,1643
16,750,16,2032
17,750,17,1790
18,750,18,1510
19,750,19,1984
20,750,20,1893
21,750,21,1912
22,750,22,1813
23,750,23,1907
24,750,24,2032
25,750,25,1696
26,750,26,1906
27,750,27,1537
28,750,28,1825
29,750,29,1983
30,750,30,1867
31,750,31,1718
32,750,32,1667
33,750,33,1721
34,750,34,1875
35,750,35,1571
36,750,36,1628
37,750,37,1799
38,750,38,1786
39,750,39,1669
40,750,40,1862
41,750,41,1871
42,750,42,1771
43,750,43,1737
44,750,44,1830
45,750,45,1802
46,750,46,1905
47,750,47,1919
48,750,48,1790
49,750,49,1670
50,750,50,1814
51,750,51,1755
52,750,52,2061
53,750,53,1841
54,750,54,1652
55,750,55,1946
56,750,56,1744
57,750,57,1849
58,750,58,1694
59,750,59,1744
60,750,60,1819
61,750,61,1949
62,750,62,1803
63,750,63,1610
64,750,64,1840
65,750,65,1806
66,750,66,1682
67,750,67,1760
68,750,68,1828
69,750,69,1778
70,750,70,1768
71,750,71,1890
72,750,72,2044
73,750,73,1812
74,750,74,1941
75,750,75,1753
76,750,76,1612
77,750,77,1858
78,750,78,1729
79,750,79,1717
80,750,80,1662
81,750,81,1871
82,750,82,1945
83,750,83,1761
84,750,84,1639
85,750,85,1812
86,750,86,1698
87,750,87,2011
88,750,88,1900
89,750,89,1727
90,750,90,1679
91,750,91,1813
92,750,92,1871
93,750,93,1803
94,750,94,1636
95,750,95,1669
96,750,96,1661
97,750,97,1860
98,750,98,1829
99,750,99,1906
100,750,100,1681
101,750,101,1706
102,750,102,1465
103,750,103,1740
104,750,104,1729
105,750,105,1745
106,750,106,1781
107,750,107,1875
108,750,108,1795
109,750,109,1929
110,750,110,1968
111,750,111,1524
112,750,112,1918
113,750,113,1750
114,750,114,1787
115,750,115,2124
116,750,116,1719
117,750,117,1798
118,750,118,1889
119,750,119,1641
120,750,120,1682
121,750,121,1701
122,750,122,1727
123,750,123,1881
124,750,124,1579
125,750,125,1636
126,750,126,1852
127,750,127,1845
128,750,128,1841
129,750,129,1658
130,750,130,1961
131,750,131,1858
132,750,132,1982
133,750,133,1996
134,750,134,1655
135,750,135,1819
136,750,136,1641
137,750,137,1573
138,750,138,1765
139,750,139,1902
140,750,140,1617
141,750,141,1847
142,750,142,1763
143,750,143,1911
144,750,144,1886
145,750,145,1627
146,750,146,1892
147,750,147,1958
148,750,148,1733
149,750,149,1874
150,750,150,1673
151,750,151,1702
152,750,152,1682
153,750,153,1868
154,750,154,1786
155,750,155,1818
156,750,156,1549
157,750,157,1583
158,750,158,1632
159,750,159,1649
160,750,160,1664
161,750,161,1700
162,750,162,1752
163,750,163,1628
164,750,164,1722
165,750,165,1877
166,750,166,1737
167,750,167,1726
168,750,168,1879
169,750,169,1856
170,750,170,1636
171,750,171,1767
172,750,172,1701
173,750,173,1637
174,750,174,1944
175,750,175,1981
176,750,176,1860
177,750,177,1867
178,750,178,1874
179,750,179,1917
180,750,180,1724
181,750,181,1964
182,750,182,1716
183,750,183,1642
184,750,184,1752
185,750,185,1873
186,750,186,2053
187,750,187,1970
188,750,188,1691
189,750,189,1838
190,750,190,1789
191,750,191,2292
192,750,192,1919
193,750,193,1754
194,750,194,2111
195,750,195,1833
196,750,196,1753
197,750,197,1891
198,750,198,1810
199,750,199,1574
