,num_chunks,times,drop_num_used
0,200,0,554
1,200,1,518
2,200,2,459
3,200,3,564
4,200,4,578
5,200,5,416
6,200,6,419
7,200,7,549
8,200,8,478
9,200,9,536
10,200,10,490
11,200,11,607
12,200,12,484
13,200,13,473
14,200,14,530
15,200,15,435
16,200,16,401
17,200,17,737
18,200,18,487
19,200,19,504
20,200,20,507
21,200,21,645
22,200,22,510
23,200,23,650
24,200,24,402
25,200,25,489
26,200,26,414
27,200,27,466
28,200,28,386
29,200,29,662
30,200,30,411
31,200,31,532
32,200,32,568
33,200,33,541
34,200,34,596
35,200,35,556
36,200,36,444
37,200,37,514
38,200,38,555
39,200,39,517
40,200,40,453
41,200,41,481
42,200,42,451
43,200,43,450
44,200,44,498
45,200,45,557
46,200,46,474
47,200,47,506
48,200,48,450
49,200,49,460
50,200,50,522
51,200,51,469
52,200,52,419
53,200,53,442
54,200,54,432
55,200,55,483
56,200,56,511
57,200,57,494
58,200,58,477
59,200,59,510
60,200,60,512
61,200,61,534
62,200,62,491
63,200,63,417
64,200,64,463
65,200,65,389
66,200,66,507
67,200,67,524
68,200,68,466
69,200,69,446
70,200,70,486
71,200,71,464
72,200,72,393
73,200,73,572
74,200,74,625
75,200,75,475
76,200,76,570
77,200,77,455
78,200,78,451
79,200,79,465
80,200,80,589
81,200,81,551
82,200,82,476
83,200,83,444
84,200,84,540
85,200,85,460
86,200,86,498
87,200,87,456
88,200,88,520
89,200,89,487
90,200,90,515
91,200,91,518
92,200,92,432
93,200,93,471
94,200,94,516
95,200,95,528
96,200,96,467
97,200,97,542
98,200,98,587
99,200,99,417
100,200,100,512
101,200,101,481
102,200,102,479
103,200,103,566
104,200,104,489
105,200,105,444
106,200,106,450
107,200,107,538
108,200,108,475
109,200,109,569
110,200,110,470
111,200,111,461
112,200,112,476
113,200,113,509
114,200,114,630
115,200,115,446
116,200,116,515
117,200,117,535
118,200,118,482
119,200,119,342
120,200,120,438
121,200,121,626
122,200,122,486
123,200,123,603
124,200,124,545
125,200,125,460
126,200,126,516
127,200,127,576
128,200,128,565
129,200,129,493
130,200,130,498
131,200,131,462
132,200,132,500
133,200,133,476
134,200,134,571
135,200,135,492
136,200,136,502
137,200,137,418
138,200,138,470
139,200,139,486
140,200,140,406
141,200,141,540
142,200,142,481
143,200,143,523
144,200,144,471
145,200,145,438
146,200,146,441
147,200,147,418
148,200,148,418
149,200,149,570
150,200,150,468
151,200,151,445
152,200,152,605
153,200,153,611
154,200,154,703
155,200,155,444
156,200,156,450
157,200,157,582
158,200,158,424
159,200,159,470
160,200,160,565
161,200,161,486
162,200,162,469
163,200,163,488
164,200,164,493
165,200,165,384
166,200,166,445
167,200,167,440
168,200,168,522
169,200,169,549
170,200,170,423
171,200,171,542
172,200,172,550
173,200,173,439
174,200,174,439
175,200,175,480
176,200,176,611
177,200,177,533
178,200,178,442
179,200,179,448
180,200,180,428
181,200,181,388
182,200,182,486
183,200,183,351
184,200,184,428
185,200,185,423
186,200,186,487
187,200,187,604
188,200,188,416
189,200,189,477
190,200,190,420
191,200,191,447
192,200,192,595
193,200,193,455
194,200,194,468
195,200,195,701
196,200,196,584
197,200,197,389
198,200,198,457
199,200,199,463
200,200,200,527
201,200,201,480
202,200,202,578
203,200,203,642
204,200,204,534
205,200,205,552
206,200,206,551
207,200,207,584
208,200,208,517
209,200,209,470
210,200,210,483
211,200,211,459
212,200,212,517
213,200,213,700
214,200,214,628
215,200,215,490
216,200,216,365
