,num_chunks,times,drop_num_used
0,450,0,1110
1,450,1,1164
2,450,2,1044
3,450,3,1088
4,450,4,968
5,450,5,1347
6,450,6,1106
7,450,7,1043
8,450,8,1011
9,450,9,1345
10,450,10,1149
11,450,11,1055
12,450,12,1178
13,450,13,954
14,450,14,1193
15,450,15,1034
16,450,16,1011
17,450,17,989
18,450,18,972
19,450,19,1024
20,450,20,1116
21,450,21,982
22,450,22,1164
23,450,23,935
24,450,24,950
25,450,25,1032
26,450,26,1085
27,450,27,1016
28,450,28,1016
29,450,29,1197
30,450,30,991
31,450,31,1047
32,450,32,969
33,450,33,933
34,450,34,1121
35,450,35,1069
36,450,36,1172
37,450,37,1012
38,450,38,1159
39,450,39,1251
40,450,40,989
41,450,41,1085
42,450,42,1110
43,450,43,1250
44,450,44,933
45,450,45,998
46,450,46,1149
47,450,47,1270
48,450,48,1175
49,450,49,993
50,450,50,1114
51,450,51,1119
52,450,52,1076
53,450,53,868
54,450,54,1162
55,450,55,1037
56,450,56,1096
57,450,57,1314
58,450,58,1021
59,450,59,1148
60,450,60,944
61,450,61,1068
62,450,62,1173
63,450,63,1135
64,450,64,1548
65,450,65,1076
66,450,66,1180
67,450,67,1105
68,450,68,1095
69,450,69,1278
70,450,70,1241
71,450,71,1063
72,450,72,1048
73,450,73,1054
74,450,74,1065
75,450,75,1153
76,450,76,1103
77,450,77,1114
78,450,78,949
79,450,79,1079
80,450,80,1167
81,450,81,1090
82,450,82,1176
83,450,83,1174
84,450,84,1117
85,450,85,1569
86,450,86,1129
87,450,87,1020
88,450,88,1015
89,450,89,1044
90,450,90,1212
91,450,91,1077
92,450,92,1110
93,450,93,1022
94,450,94,1052
95,450,95,938
96,450,96,1214
97,450,97,1052
98,450,98,1170
99,450,99,1054
100,450,100,950
101,450,101,1121
102,450,102,1059
103,450,103,1178
104,450,104,1142
105,450,105,1082
106,450,106,1006
107,450,107,1130
108,450,108,990
109,450,109,1010
110,450,110,1048
111,450,111,1026
112,450,112,1250
113,450,113,1094
114,450,114,1220
115,450,115,1047
116,450,116,970
117,450,117,1117
118,450,118,1176
119,450,119,1051
120,450,120,929
121,450,121,840
122,450,122,1010
123,450,123,1154
124,450,124,991
125,450,125,1034
126,450,126,1004
127,450,127,1101
128,450,128,1005
129,450,129,866
130,450,130,1159
131,450,131,951
132,450,132,1086
133,450,133,1095
134,450,134,1148
135,450,135,919
136,450,136,1663
137,450,137,1138
138,450,138,1097
139,450,139,979
140,450,140,1051
141,450,141,883
142,450,142,1002
143,450,143,920
144,450,144,1145
145,450,145,958
146,450,146,1121
147,450,147,1056
148,450,148,985
149,450,149,1083
150,450,150,1124
151,450,151,1141
152,450,152,1018
153,450,153,975
154,450,154,1172
155,450,155,1044
156,450,156,945
157,450,157,1167
158,450,158,1010
159,450,159,912
160,450,160,1050
161,450,161,1034
162,450,162,943
163,450,163,1119
164,450,164,902
165,450,165,1062
166,450,166,1139
167,450,167,1050
168,450,168,1071
169,450,169,948
170,450,170,1183
171,450,171,974
172,450,172,981
173,450,173,895
174,450,174,957
175,450,175,1108
176,450,176,1036
177,450,177,1123
178,450,178,1047
179,450,179,1118
180,450,180,1184
181,450,181,1067
182,450,182,993
183,450,183,861
184,450,184,1117
185,450,185,1327
186,450,186,957
187,450,187,1046
188,450,188,1077
189,450,189,1172
190,450,190,981
191,450,191,894
192,450,192,831
193,450,193,995
194,450,194,1039
195,450,195,1140
196,450,196,932
