,num_chunks,times,drop_num_used
0,350,0,910
1,350,1,737
2,350,2,710
3,350,3,837
4,350,4,925
5,350,5,940
6,350,6,830
7,350,7,876
8,350,8,756
9,350,9,836
10,350,10,838
11,350,11,856
12,350,12,685
13,350,13,807
14,350,14,823
15,350,15,775
16,350,16,949
17,350,17,640
18,350,18,895
19,350,19,933
20,350,20,940
21,350,21,1418
22,350,22,847
23,350,23,961
24,350,24,756
25,350,25,837
26,350,26,798
27,350,27,749
28,350,28,854
29,350,29,769
30,350,30,893
31,350,31,737
32,350,32,659
33,350,33,915
34,350,34,832
35,350,35,816
36,350,36,844
37,350,37,821
38,350,38,817
39,350,39,943
40,350,40,766
41,350,41,963
42,350,42,1256
43,350,43,1110
44,350,44,806
45,350,45,790
46,350,46,768
47,350,47,1011
48,350,48,745
49,350,49,732
50,350,50,758
51,350,51,891
52,350,52,789
53,350,53,792
54,350,54,906
55,350,55,807
56,350,56,834
57,350,57,808
58,350,58,916
59,350,59,807
60,350,60,882
61,350,61,768
62,350,62,743
63,350,63,790
64,350,64,831
65,350,65,848
66,350,66,851
67,350,67,723
68,350,68,1025
69,350,69,839
70,350,70,841
71,350,71,860
72,350,72,982
73,350,73,866
74,350,74,921
75,350,75,894
76,350,76,687
77,350,77,1004
78,350,78,890
79,350,79,973
80,350,80,764
81,350,81,751
82,350,82,848
83,350,83,945
84,350,84,751
85,350,85,1002
86,350,86,889
87,350,87,743
88,350,88,776
89,350,89,732
90,350,90,824
91,350,91,856
92,350,92,657
93,350,93,1004
94,350,94,931
95,350,95,667
96,350,96,756
97,350,97,895
98,350,98,813
99,350,99,854
