,num_chunks,times,drop_num_used
0,900,0,1072
1,900,1,1068
2,900,2,1129
3,900,3,1067
4,900,4,1086
5,900,5,1060
6,900,6,1069
7,900,7,1052
8,900,8,1081
9,900,9,1164
10,900,10,1166
11,900,11,1101
12,900,12,1085
13,900,13,1071
14,900,14,1091
15,900,15,1084
16,900,16,1097
17,900,17,1072
18,900,18,1219
19,900,19,1029
20,900,20,1083
21,900,21,1074
22,900,22,1071
23,900,23,1077
24,900,24,1066
25,900,25,1041
26,900,26,1134
27,900,27,1072
28,900,28,1126
29,900,29,1190
30,900,30,1077
31,900,31,1139
32,900,32,1045
33,900,33,1070
34,900,34,1039
35,900,35,1055
36,900,36,1080
37,900,37,1138
38,900,38,1154
39,900,39,1120
40,900,40,1050
41,900,41,1070
42,900,42,1040
43,900,43,1086
44,900,44,1082
45,900,45,1040
46,900,46,1147
47,900,47,1063
48,900,48,1094
49,900,49,1111
50,900,50,1086
51,900,51,1041
52,900,52,1137
53,900,53,1212
54,900,54,1089
55,900,55,1102
56,900,56,1081
57,900,57,1067
58,900,58,1030
59,900,59,1159
60,900,60,1153
61,900,61,1146
62,900,62,1092
63,900,63,1075
64,900,64,1074
65,900,65,1054
66,900,66,1055
67,900,67,1050
68,900,68,1078
69,900,69,1104
70,900,70,1111
71,900,71,1084
72,900,72,1038
73,900,73,1194
74,900,74,1108
75,900,75,1121
76,900,76,1117
77,900,77,1095
78,900,78,1140
79,900,79,1087
80,900,80,1104
81,900,81,1041
82,900,82,1071
83,900,83,1014
84,900,84,1090
85,900,85,1141
86,900,86,1084
87,900,87,1053
88,900,88,1029
89,900,89,1068
90,900,90,1117
91,900,91,1051
92,900,92,1096
93,900,93,1098
94,900,94,1110
95,900,95,1052
96,900,96,1138
97,900,97,1535
98,900,98,1198
99,900,99,1079
