,num_chunks,times,w1_drop_num,w2_drop_num,feedback_num
0,50,0,66,90,2
1,50,1,57,99,2
2,50,2,60,91,2
3,50,3,87,109,2
4,50,4,70,115,3
5,50,5,83,108,2
6,50,6,80,86,2
7,50,7,84,110,2
8,50,8,63,113,3
9,50,9,56,93,2
10,50,10,59,94,2
11,50,11,73,122,3
12,50,12,54,97,2
13,50,13,64,90,2
14,50,14,61,96,2
15,50,15,62,91,2
16,50,16,72,112,2
17,50,17,85,101,2
18,50,18,49,103,2
19,50,19,63,92,2
20,50,20,85,114,3
21,50,21,61,92,2
22,50,22,68,115,3
23,50,23,64,100,2
24,50,24,61,99,2
25,50,25,82,89,2
26,50,26,54,101,2
27,50,27,64,64,1
28,50,28,53,115,3
29,50,29,57,101,2
30,50,30,57,102,2
31,50,31,66,116,3
32,50,32,57,103,2
33,50,33,86,114,3
34,50,34,61,105,2
35,50,35,55,112,2
36,50,36,82,93,2
37,50,37,57,86,2
38,50,38,88,88,2
39,50,39,66,122,3
40,50,40,66,95,2
41,50,41,86,106,2
42,50,42,72,110,2
43,50,43,57,114,3
44,50,44,62,95,2
45,50,45,64,92,2
46,50,46,59,88,2
47,50,47,69,99,2
48,50,48,58,97,2
49,50,49,55,112,2
50,50,50,70,95,2
51,50,51,67,115,3
52,50,52,71,97,2
53,50,53,68,117,3
54,50,54,63,105,2
55,50,55,63,108,2
56,50,56,58,89,2
57,50,57,85,110,2
58,50,58,78,92,2
59,50,59,61,88,2
60,50,60,66,114,3
61,50,61,56,94,2
62,50,62,61,101,2
63,50,63,61,127,3
64,50,64,61,90,2
65,50,65,84,114,3
66,50,66,68,70,1
67,50,67,56,92,2
68,50,68,57,97,2
69,50,69,62,113,3
70,50,70,82,127,3
71,50,71,64,93,2
72,50,72,59,96,2
73,50,73,69,124,3
74,50,74,84,103,2
75,50,75,60,87,2
76,50,76,56,95,2
77,50,77,78,113,3
78,50,78,77,77,1
79,50,79,62,114,3
80,50,80,52,114,3
81,50,81,69,124,3
82,50,82,58,88,2
83,50,83,77,101,2
84,50,84,59,89,2
85,50,85,52,102,2
86,50,86,58,114,3
87,50,87,59,104,2
88,50,88,61,97,2
89,50,89,49,113,3
90,50,90,55,102,2
91,50,91,65,101,2
92,50,92,70,94,2
93,50,93,54,97,2
94,50,94,58,118,3
95,50,95,68,98,2
96,50,96,78,119,3
97,50,97,60,101,2
98,50,98,47,99,2
99,50,99,55,111,2
100,50,100,69,114,3
101,50,101,55,111,2
102,50,102,65,102,2
103,50,103,60,96,2
104,50,104,66,131,3
105,50,105,55,99,2
106,50,106,60,116,3
107,50,107,71,121,3
108,50,108,66,116,3
109,50,109,55,114,3
110,50,110,66,125,3
111,50,111,57,115,3
112,50,112,74,92,2
113,50,113,83,99,2
114,50,114,73,93,2
115,50,115,62,86,2
116,50,116,51,122,3
117,50,117,62,90,2
118,50,118,81,116,3
119,50,119,66,116,3
120,50,120,84,120,3
121,50,121,85,87,2
122,50,122,61,114,3
123,50,123,60,106,2
124,50,124,56,120,3
125,50,125,68,113,3
126,50,126,87,98,2
127,50,127,54,110,2
128,50,128,61,96,2
129,50,129,61,99,2
130,50,130,56,119,3
131,50,131,84,114,3
132,50,132,55,100,2
133,50,133,54,97,2
134,50,134,49,90,2
135,50,135,53,90,2
136,50,136,59,100,2
137,50,137,67,106,2
138,50,138,85,105,2
139,50,139,61,123,3
140,50,140,54,98,2
141,50,141,57,94,2
142,50,142,61,100,2
143,50,143,54,92,2
144,50,144,65,85,2
145,50,145,59,110,2
146,50,146,77,104,2
147,50,147,68,68,1
148,50,148,60,89,2
149,50,149,60,85,2
150,50,150,54,98,2
151,50,151,59,101,2
152,50,152,62,92,2
153,50,153,49,144,4
154,50,154,60,94,2
155,50,155,56,84,2
156,50,156,63,85,2
157,50,157,66,120,3
158,50,158,57,114,3
159,50,159,87,119,3
160,50,160,76,115,3
161,50,161,62,85,2
162,50,162,50,109,2
163,50,163,92,115,3
164,50,164,89,89,2
165,50,165,71,128,3
166,50,166,57,87,2
167,50,167,54,115,3
168,50,168,54,98,2
169,50,169,54,110,2
170,50,170,61,90,2
171,50,171,60,92,2
172,50,172,68,98,2
173,50,173,58,114,3
174,50,174,64,88,2
175,50,175,56,106,2
176,50,176,58,96,2
177,50,177,85,114,3
178,50,178,61,91,2
179,50,179,70,128,3
180,50,180,64,95,2
181,50,181,65,85,2
182,50,182,60,89,2
183,50,183,57,97,2
184,50,184,73,126,3
185,50,185,76,117,3
186,50,186,57,94,2
187,50,187,53,94,2
188,50,188,52,89,2
189,50,189,63,111,2
190,50,190,59,103,2
191,50,191,68,114,3
192,50,192,48,107,2
193,50,193,72,122,3
194,50,194,74,117,3
195,50,195,51,112,2
196,50,196,57,88,2
197,50,197,54,120,3
198,50,198,66,105,2
199,50,199,64,92,2
