,K,w1_avg_drops,w2_avg_drops,feedback_packet_avgs
0,50,64.025,105.1,2.23
1,100,116.875,176.18,3.22
2,150,168.215,243.245,4.115
3,200,215.755,305.915,4.885
4,250,263.12,364.45,5.535
5,300,312.615,424.705,6.17
6,350,357.98,482.97,6.785
7,400,403.915,541.56,7.46
8,450,449.79,597.09,7.96
9,500,495.665,651.71,8.435
10,550,538.86,709.12,9.02
11,600,583.98,765.025,9.58
12,650,629.905,818.575,10.01
13,700,674.59,872.185,10.45
14,750,719.055,926.68,10.925
15,800,761.26,982.265,11.495
16,850,809.59,1032.78,11.805
17,900,849.54,1088.27,12.34
18,950,893.745,1144.31,12.86
19,1000,941.055,1195.265,13.215
