,num_chunks,times,w1_drop_num,w2_drop_num,feedback_num
0,350,0,350,456,3
1,350,1,356,524,6
2,350,2,354,495,5
3,350,3,392,508,5
4,350,4,375,487,4
5,350,5,374,489,5
6,350,6,378,454,3
7,350,7,375,493,5
8,350,8,383,501,5
9,350,9,364,496,5
10,350,10,376,471,4
11,350,11,350,460,4
12,350,12,361,465,4
13,350,13,350,492,5
14,350,14,350,473,4
15,350,15,376,447,3
16,350,16,376,473,4
17,350,17,372,483,4
18,350,18,375,491,5
19,350,19,379,473,4
20,350,20,353,489,5
21,350,21,391,487,4
22,350,22,350,479,4
23,350,23,386,491,5
24,350,24,375,472,4
25,350,25,350,490,5
26,350,26,372,519,6
27,350,27,380,493,5
28,350,28,369,490,5
29,350,29,400,492,5
30,350,30,350,434,3
31,350,31,369,519,6
32,350,32,379,519,6
33,350,33,369,467,4
34,350,34,374,494,5
35,350,35,359,493,5
36,350,36,353,492,5
37,350,37,357,489,5
38,350,38,377,509,5
39,350,39,379,439,3
40,350,40,371,481,4
41,350,41,360,490,5
42,350,42,370,504,5
43,350,43,371,496,5
44,350,44,370,495,5
45,350,45,376,447,3
46,350,46,356,519,6
47,350,47,370,500,5
48,350,48,375,491,5
49,350,49,357,483,4
50,350,50,369,493,5
51,350,51,369,467,4
52,350,52,375,462,4
53,350,53,382,493,5
54,350,54,371,494,5
55,350,55,386,519,6
56,350,56,362,494,5
57,350,57,350,495,5
58,350,58,371,473,4
59,350,59,350,465,4
60,350,60,371,486,4
61,350,61,374,460,4
62,350,62,383,500,5
63,350,63,363,519,6
64,350,64,363,491,5
65,350,65,350,472,4
66,350,66,369,497,5
67,350,67,361,477,4
68,350,68,374,486,4
69,350,69,350,474,4
70,350,70,372,519,6
71,350,71,350,492,5
72,350,72,361,492,5
73,350,73,377,490,5
74,350,74,373,519,6
75,350,75,360,490,5
76,350,76,372,471,4
77,350,77,374,490,5
78,350,78,361,475,4
79,350,79,386,499,5
80,350,80,359,495,5
81,350,81,404,491,5
82,350,82,379,476,4
83,350,83,371,482,4
84,350,84,374,459,4
85,350,85,395,482,4
86,350,86,354,523,6
87,350,87,361,502,5
88,350,88,371,491,5
89,350,89,371,475,4
90,350,90,358,467,4
91,350,91,377,488,5
92,350,92,376,469,4
93,350,93,379,493,5
94,350,94,395,497,5
95,350,95,372,492,5
96,350,96,380,452,3
97,350,97,372,480,4
98,350,98,374,501,5
99,350,99,369,503,5
100,350,100,367,484,4
101,350,101,370,528,6
102,350,102,350,486,4
103,350,103,369,479,4
104,350,104,350,496,5
105,350,105,358,471,4
106,350,106,373,473,4
107,350,107,373,487,4
108,350,108,391,521,6
109,350,109,369,480,4
110,350,110,370,477,4
111,350,111,397,497,5
112,350,112,370,491,5
113,350,113,350,467,4
114,350,114,374,500,5
115,350,115,350,493,5
116,350,116,372,451,3
117,350,117,369,454,3
118,350,118,350,467,4
119,350,119,378,498,5
120,350,120,374,498,5
121,350,121,352,494,5
122,350,122,370,510,5
123,350,123,374,457,3
124,350,124,369,493,5
125,350,125,371,481,4
126,350,126,392,489,5
127,350,127,376,461,4
128,350,128,390,489,5
129,350,129,394,516,5
130,350,130,369,519,6
131,350,131,391,499,5
132,350,132,350,489,5
133,350,133,356,461,4
134,350,134,358,480,4
135,350,135,359,522,6
136,350,136,369,519,6
137,350,137,359,483,4
138,350,138,367,515,5
139,350,139,379,483,4
140,350,140,356,490,5
141,350,141,370,489,5
142,350,142,383,491,5
143,350,143,398,497,5
144,350,144,369,479,4
145,350,145,367,483,4
146,350,146,358,490,5
147,350,147,370,472,4
148,350,148,370,499,5
149,350,149,403,510,5
150,350,150,362,487,4
151,350,151,373,492,5
152,350,152,373,471,4
153,350,153,400,486,4
154,350,154,385,503,5
155,350,155,381,479,4
156,350,156,382,492,5
157,350,157,370,515,5
158,350,158,354,490,5
159,350,159,369,462,4
160,350,160,377,490,5
161,350,161,370,497,5
162,350,162,359,479,4
163,350,163,350,493,5
164,350,164,358,503,5
165,350,165,369,514,5
166,350,166,370,472,4
167,350,167,350,489,5
168,350,168,390,503,5
169,350,169,398,485,4
170,350,170,367,500,5
171,350,171,400,515,5
172,350,172,374,476,4
173,350,173,374,506,5
174,350,174,369,457,3
175,350,175,372,467,4
176,350,176,350,466,4
177,350,177,373,452,3
178,350,178,369,489,5
179,350,179,371,496,5
180,350,180,371,492,5
181,350,181,369,511,5
182,350,182,378,468,4
183,350,183,370,490,5
184,350,184,371,496,5
185,350,185,371,508,5
186,350,186,378,486,4
187,350,187,350,470,4
188,350,188,399,493,5
189,350,189,351,521,6
190,350,190,378,492,5
191,350,191,381,490,5
192,350,192,373,499,5
193,350,193,370,489,5
194,350,194,370,505,5
195,350,195,362,489,5
196,350,196,369,523,6
197,350,197,391,495,5
198,350,198,383,499,5
199,350,199,350,460,4
