,K,w1_avg_drops,w2_avg_drops,feedback_packet_avgs
0,50,66.62,104.135,1.895
1,100,120.35,176.815,2.575
2,150,171.45,243.965,3.125
3,200,222.71,305.05,3.475
4,250,272.97,369.525,3.99
5,300,321.85,430.555,4.395
6,350,370.305,488.13,4.625
7,400,419.96,547.455,4.94
8,450,469.46,608.575,5.345
9,500,518.875,666.9,5.605
10,550,570.155,725.485,5.88
11,600,619.155,785.765,6.25
12,650,665.88,839.165,6.35
13,700,718.585,898.685,6.67
14,750,767.02,957.275,6.975
15,800,817.135,1014.5,7.21
16,850,862.78,1069.835,7.395
17,900,912.995,1126.255,7.6
18,950,964.1,1187.38,7.96
19,1000,1014.385,1243.06,8.1
