,num_chunks,times,w1_drop_num,w2_drop_num,feedback_num
0,300,0,357,424,2
1,300,1,327,466,5
2,300,2,360,446,3
3,300,3,297,437,5
4,300,4,339,435,3
5,300,5,309,410,3
6,300,6,324,420,3
7,300,7,322,403,3
8,300,8,354,463,4
9,300,9,315,422,3
10,300,10,313,415,3
11,300,11,322,434,4
12,300,12,300,409,4
13,300,13,347,455,4
14,300,14,422,495,2
15,300,15,338,438,3
16,300,16,304,394,3
17,300,17,350,396,2
18,300,18,342,433,3
19,300,19,315,424,4
20,300,20,348,446,3
21,300,21,361,441,3
22,300,22,331,413,3
23,300,23,344,422,3
24,300,24,297,416,4
25,300,25,341,430,3
26,300,26,309,437,4
27,300,27,402,484,3
28,300,28,387,495,4
29,300,29,347,456,4
30,300,30,311,422,4
31,300,31,329,468,5
32,300,32,367,458,3
33,300,33,340,436,3
34,300,34,332,417,3
35,300,35,386,446,2
36,300,36,303,394,3
37,300,37,363,451,3
38,300,38,309,400,3
39,300,39,310,397,3
40,300,40,297,426,4
41,300,41,353,424,2
42,300,42,320,416,3
43,300,43,382,459,3
44,300,44,320,396,3
45,300,45,313,422,4
46,300,46,433,487,2
47,300,47,394,471,3
48,300,48,375,456,3
49,300,49,302,397,3
50,300,50,311,411,3
51,300,51,359,439,3
52,300,52,390,444,2
53,300,53,305,374,2
54,300,54,346,431,3
55,300,55,318,394,2
56,300,56,358,497,5
57,300,57,330,412,3
58,300,58,297,417,4
59,300,59,300,408,4
60,300,60,306,416,4
61,300,61,388,470,3
62,300,62,339,413,2
63,300,63,385,441,2
64,300,64,378,457,3
65,300,65,330,449,4
66,300,66,342,450,4
67,300,67,361,485,4
68,300,68,389,472,3
69,300,69,378,446,2
70,300,70,293,385,3
71,300,71,310,428,4
72,300,72,352,465,4
73,300,73,368,446,3
74,300,74,299,408,4
75,300,75,316,379,2
76,300,76,299,415,4
77,300,77,288,397,4
78,300,78,306,392,3
79,300,79,341,425,3
80,300,80,332,400,2
81,300,81,414,503,3
82,300,82,311,419,4
83,300,83,313,393,3
84,300,84,331,398,2
85,300,85,391,474,3
86,300,86,329,436,4
87,300,87,342,446,3
88,300,88,293,392,3
89,300,89,339,423,3
90,300,90,331,385,2
91,300,91,304,442,5
92,300,92,394,446,2
93,300,93,292,418,4
94,300,94,290,412,4
95,300,95,312,397,3
96,300,96,323,390,2
97,300,97,338,430,3
98,300,98,320,418,3
99,300,99,315,416,3
100,300,100,326,423,3
101,300,101,366,449,3
102,300,102,366,448,3
103,300,103,311,425,4
104,300,104,323,404,3
105,300,105,296,394,3
106,300,106,294,404,4
107,300,107,320,433,4
108,300,108,335,433,3
109,300,109,345,421,2
110,300,110,390,491,3
111,300,111,296,408,4
112,300,112,302,417,4
113,300,113,323,436,4
114,300,114,402,489,3
115,300,115,316,366,2
116,300,116,361,434,2
117,300,117,354,462,4
118,300,118,314,429,4
119,300,119,345,416,2
120,300,120,332,406,2
121,300,121,340,436,3
122,300,122,319,416,3
123,300,123,320,444,4
124,300,124,349,432,3
125,300,125,318,415,3
126,300,126,350,459,4
127,300,127,304,459,5
128,300,128,359,429,2
129,300,129,350,453,3
130,300,130,418,521,3
131,300,131,319,402,3
132,300,132,320,405,3
133,300,133,306,394,3
134,300,134,366,425,2
135,300,135,337,468,4
136,300,136,364,415,2
137,300,137,299,435,5
138,300,138,321,437,4
139,300,139,355,464,4
140,300,140,298,428,4
141,300,141,326,435,4
142,300,142,327,411,3
143,300,143,337,415,3
144,300,144,316,396,3
145,300,145,322,446,4
146,300,146,382,439,2
147,300,147,312,417,3
148,300,148,402,488,3
149,300,149,352,437,3
150,300,150,324,430,4
151,300,151,359,480,4
152,300,152,323,410,3
153,300,153,309,417,4
154,300,154,289,408,4
155,300,155,315,421,4
156,300,156,342,439,3
157,300,157,327,408,3
158,300,158,362,443,3
159,300,159,317,428,4
160,300,160,343,429,3
161,300,161,343,410,2
162,300,162,366,509,5
163,300,163,339,441,3
164,300,164,317,396,3
165,300,165,296,412,4
166,300,166,387,469,3
167,300,167,335,411,2
168,300,168,355,434,3
169,300,169,334,408,2
170,300,170,388,496,4
171,300,171,428,510,3
172,300,172,346,422,2
173,300,173,355,464,4
174,300,174,331,417,3
175,300,175,346,427,3
176,300,176,358,449,3
177,300,177,320,403,3
178,300,178,345,465,4
179,300,179,335,419,3
180,300,180,319,400,3
181,300,181,319,417,3
182,300,182,302,434,4
183,300,183,350,429,3
184,300,184,305,425,4
185,300,185,344,412,2
186,300,186,395,506,4
187,300,187,318,395,3
188,300,188,361,449,3
189,300,189,323,431,4
190,300,190,340,417,3
191,300,191,327,437,4
192,300,192,366,458,3
193,300,193,325,446,4
194,300,194,320,424,3
195,300,195,368,463,3
196,300,196,311,426,4
197,300,197,331,428,3
198,300,198,331,440,4
199,300,199,366,439,2
