,K,w1_avg_drops,w2_avg_drops,feedback_packet_avgs
0,50,69.175,100.03,1.14
1,100,128.245,172.005,1.485
2,150,179.91,238.495,1.955
3,200,234.73,306.225,2.395
4,250,285.89,369.07,2.82
5,300,337.095,431.83,3.22
6,350,391.745,493.735,3.43
7,400,438.055,553.62,3.88
8,450,485.385,610.275,4.235
9,500,537.515,672.065,4.555
10,550,587.59,728.795,4.745
11,600,639.225,793.4,5.24
12,650,678.08,842.795,5.545
13,700,733.315,904.01,5.765
14,750,780.415,959.79,6.065
15,800,824.945,1012.37,6.29
16,850,870.97,1069.565,6.705
17,900,924.36,1132.625,7.015
18,950,975.405,1189.285,7.235
19,1000,1027.75,1249.155,7.48
