,num_chunks,times,w1_drop_num,w2_drop_num,feedback_num
0,250,0,305,361,2
1,250,1,295,391,3
2,250,2,275,384,4
3,250,3,374,434,2
4,250,4,275,384,4
5,250,5,288,348,2
6,250,6,249,357,4
7,250,7,268,342,2
8,250,8,319,402,3
9,250,9,259,351,3
10,250,10,283,344,2
11,250,11,309,391,3
12,250,12,292,402,4
13,250,13,297,378,3
14,250,14,247,350,3
15,250,15,288,382,3
16,250,16,271,354,3
17,250,17,300,372,2
18,250,18,299,379,3
19,250,19,283,354,2
20,250,20,345,393,2
21,250,21,292,350,2
22,250,22,300,409,4
23,250,23,246,343,3
24,250,24,287,351,2
25,250,25,295,397,3
26,250,26,269,323,2
27,250,27,278,375,3
28,250,28,293,393,3
29,250,29,263,347,3
30,250,30,304,357,2
31,250,31,295,383,3
32,250,32,330,380,2
33,250,33,268,344,2
34,250,34,294,358,2
35,250,35,327,394,2
36,250,36,273,365,3
37,250,37,303,390,3
38,250,38,248,362,4
39,250,39,277,386,4
40,250,40,314,383,2
41,250,41,261,378,4
42,250,42,266,349,3
43,250,43,307,367,2
44,250,44,268,376,4
45,250,45,262,371,4
46,250,46,264,343,3
47,250,47,268,351,3
48,250,48,358,391,1
49,250,49,281,361,3
50,250,50,249,333,3
51,250,51,286,399,4
52,250,52,249,351,3
53,250,53,299,357,2
54,250,54,257,369,4
55,250,55,269,342,2
56,250,56,330,402,2
57,250,57,427,446,1
58,250,58,288,380,3
59,250,59,258,397,5
60,250,60,264,377,4
61,250,61,334,389,2
62,250,62,282,367,3
63,250,63,321,392,2
64,250,64,272,338,2
65,250,65,292,371,3
66,250,66,361,440,3
67,250,67,243,322,3
68,250,68,260,348,3
69,250,69,290,400,4
70,250,70,295,374,3
71,250,71,288,353,2
72,250,72,260,345,3
73,250,73,276,373,3
74,250,74,278,359,3
75,250,75,282,360,3
76,250,76,269,351,3
77,250,77,285,358,2
78,250,78,283,368,3
79,250,79,307,390,3
80,250,80,290,378,3
81,250,81,271,333,2
82,250,82,282,362,3
83,250,83,296,381,3
84,250,84,310,397,3
85,250,85,254,375,4
86,250,86,283,392,4
87,250,87,276,326,2
88,250,88,291,366,2
89,250,89,323,384,2
90,250,90,269,355,3
91,250,91,254,343,3
92,250,92,331,424,3
93,250,93,285,407,4
94,250,94,260,366,3
95,250,95,302,356,2
96,250,96,286,367,3
97,250,97,318,390,2
98,250,98,274,349,2
99,250,99,250,380,4
100,250,100,313,383,2
101,250,101,291,357,2
102,250,102,281,386,3
103,250,103,260,370,4
104,250,104,299,343,1
105,250,105,268,347,3
106,250,106,271,330,2
107,250,107,260,348,3
108,250,108,284,374,3
109,250,109,310,356,1
110,250,110,252,363,4
111,250,111,306,377,2
112,250,112,327,415,3
113,250,113,277,365,3
114,250,114,352,375,1
115,250,115,276,357,3
116,250,116,263,349,3
117,250,117,291,400,4
118,250,118,341,414,2
119,250,119,299,378,3
120,250,120,276,362,3
121,250,121,291,396,3
122,250,122,265,348,3
123,250,123,266,375,4
124,250,124,259,381,4
125,250,125,281,373,3
126,250,126,277,371,3
127,250,127,284,375,3
128,250,128,276,351,2
129,250,129,306,349,1
130,250,130,235,315,3
131,250,131,291,375,3
132,250,132,266,352,3
133,250,133,281,396,4
134,250,134,285,379,3
135,250,135,279,351,2
136,250,136,268,363,3
137,250,137,263,402,5
138,250,138,284,346,2
139,250,139,276,347,2
140,250,140,286,360,2
141,250,141,302,384,3
142,250,142,327,408,3
143,250,143,283,338,2
144,250,144,279,349,2
145,250,145,280,364,3
146,250,146,277,367,3
147,250,147,275,347,2
148,250,148,282,351,2
149,250,149,281,395,4
150,250,150,275,362,3
151,250,151,271,345,2
152,250,152,290,386,3
153,250,153,271,321,2
154,250,154,279,367,3
155,250,155,288,356,2
156,250,156,304,365,2
157,250,157,265,356,3
158,250,158,243,354,4
159,250,159,289,354,2
160,250,160,291,400,4
161,250,161,258,350,3
162,250,162,276,348,2
163,250,163,337,388,2
164,250,164,254,371,4
165,250,165,316,380,2
166,250,166,318,373,2
167,250,167,263,354,3
168,250,168,276,339,2
169,250,169,268,359,3
170,250,170,263,364,3
171,250,171,274,355,3
172,250,172,291,353,2
173,250,173,281,347,2
174,250,174,283,363,3
175,250,175,264,361,3
176,250,176,279,358,3
177,250,177,263,373,4
178,250,178,286,342,2
179,250,179,301,385,3
180,250,180,266,364,3
181,250,181,261,341,3
182,250,182,279,357,3
183,250,183,285,358,2
184,250,184,291,370,3
185,250,185,382,425,1
186,250,186,293,349,2
187,250,187,277,347,2
188,250,188,320,402,3
189,250,189,306,387,3
190,250,190,342,392,2
191,250,191,248,357,4
192,250,192,310,369,2
193,250,193,256,331,2
194,250,194,307,389,3
195,250,195,345,395,2
196,250,196,297,367,2
197,250,197,280,370,3
198,250,198,373,435,2
199,250,199,312,379,2
