,num_chunks,times,drop_num_used
0,800,0,961
1,800,1,1031
2,800,2,999
3,800,3,993
4,800,4,992
5,800,5,990
6,800,6,1014
7,800,7,991
8,800,8,959
9,800,9,1019
10,800,10,955
11,800,11,993
12,800,12,1019
13,800,13,991
14,800,14,998
15,800,15,996
16,800,16,1007
17,800,17,959
18,800,18,994
19,800,19,999
20,800,20,1004
21,800,21,991
22,800,22,989
23,800,23,977
24,800,24,970
25,800,25,969
26,800,26,992
27,800,27,981
28,800,28,1019
29,800,29,969
30,800,30,992
31,800,31,986
32,800,32,989
33,800,33,986
34,800,34,998
35,800,35,1019
36,800,36,975
37,800,37,966
38,800,38,993
39,800,39,1003
40,800,40,1001
41,800,41,959
42,800,42,986
43,800,43,999
44,800,44,965
45,800,45,992
46,800,46,998
47,800,47,1023
48,800,48,996
49,800,49,965
50,800,50,993
51,800,51,1010
52,800,52,1004
53,800,53,973
54,800,54,1015
55,800,55,993
56,800,56,1002
57,800,57,994
58,800,58,991
59,800,59,984
60,800,60,991
61,800,61,964
62,800,62,990
63,800,63,1003
64,800,64,1019
65,800,65,990
66,800,66,966
67,800,67,1000
68,800,68,989
69,800,69,993
70,800,70,990
71,800,71,963
72,800,72,991
73,800,73,998
74,800,74,990
75,800,75,1010
76,800,76,1001
77,800,77,990
78,800,78,980
79,800,79,992
80,800,80,993
81,800,81,977
82,800,82,989
83,800,83,991
84,800,84,997
85,800,85,993
86,800,86,962
87,800,87,957
88,800,88,992
89,800,89,975
90,800,90,1011
91,800,91,994
92,800,92,1021
93,800,93,1012
94,800,94,979
95,800,95,985
96,800,96,993
97,800,97,996
98,800,98,978
99,800,99,1018
