,num_chunks,times,drop_num_used
0,500,0,647
1,500,1,709
2,500,2,679
3,500,3,687
4,500,4,699
5,500,5,713
6,500,6,701
7,500,7,652
8,500,8,652
9,500,9,687
10,500,10,644
11,500,11,674
12,500,12,700
13,500,13,666
14,500,14,680
15,500,15,686
16,500,16,681
17,500,17,700
18,500,18,629
19,500,19,657
20,500,20,673
21,500,21,656
22,500,22,674
23,500,23,709
24,500,24,690
25,500,25,700
26,500,26,790
27,500,27,745
28,500,28,662
29,500,29,651
30,500,30,733
31,500,31,719
32,500,32,664
33,500,33,643
34,500,34,665
35,500,35,659
36,500,36,627
37,500,37,682
38,500,38,806
39,500,39,665
40,500,40,664
41,500,41,724
42,500,42,634
43,500,43,684
44,500,44,695
45,500,45,658
46,500,46,721
47,500,47,702
48,500,48,703
49,500,49,635
50,500,50,684
51,500,51,699
52,500,52,677
53,500,53,680
54,500,54,915
55,500,55,690
56,500,56,630
57,500,57,725
58,500,58,729
59,500,59,698
60,500,60,740
61,500,61,761
62,500,62,702
63,500,63,667
64,500,64,639
65,500,65,692
66,500,66,690
67,500,67,668
68,500,68,742
69,500,69,731
70,500,70,628
71,500,71,691
72,500,72,661
73,500,73,666
74,500,74,711
75,500,75,683
76,500,76,683
77,500,77,694
78,500,78,714
79,500,79,634
80,500,80,698
81,500,81,734
82,500,82,703
83,500,83,665
84,500,84,639
85,500,85,669
86,500,86,735
87,500,87,732
88,500,88,683
89,500,89,705
90,500,90,681
91,500,91,662
92,500,92,644
93,500,93,719
94,500,94,700
95,500,95,664
96,500,96,655
97,500,97,677
98,500,98,673
99,500,99,711
