,num_chunks,times,drop_num_used
0,300,0,953
1,300,1,714
2,300,2,1138
3,300,3,601
4,300,4,909
5,300,5,875
6,300,6,1053
7,300,7,1149
8,300,8,826
9,300,9,793
10,300,10,949
11,300,11,1260
12,300,12,982
13,300,13,687
14,300,14,1131
15,300,15,799
16,300,16,1046
17,300,17,879
18,300,18,939
19,300,19,878
20,300,20,694
21,300,21,1369
22,300,22,972
23,300,23,781
24,300,24,744
25,300,25,773
26,300,26,824
27,300,27,714
28,300,28,914
29,300,29,847
30,300,30,782
31,300,31,757
32,300,32,827
33,300,33,954
34,300,34,903
35,300,35,888
36,300,36,1011
37,300,37,601
38,300,38,1065
39,300,39,872
40,300,40,1023
41,300,41,857
42,300,42,735
43,300,43,1221
44,300,44,691
45,300,45,856
46,300,46,792
47,300,47,987
48,300,48,866
49,300,49,964
50,300,50,918
51,300,51,967
52,300,52,1146
53,300,53,798
54,300,54,961
55,300,55,840
56,300,56,1228
57,300,57,726
58,300,58,1138
59,300,59,667
60,300,60,947
61,300,61,878
62,300,62,908
63,300,63,864
64,300,64,701
65,300,65,787
66,300,66,899
67,300,67,800
68,300,68,674
69,300,69,916
70,300,70,1125
71,300,71,710
72,300,72,1038
73,300,73,1169
74,300,74,779
75,300,75,832
76,300,76,797
77,300,77,906
78,300,78,862
79,300,79,1169
80,300,80,803
81,300,81,751
82,300,82,1206
83,300,83,725
84,300,84,819
85,300,85,1012
86,300,86,1013
87,300,87,773
88,300,88,1033
89,300,89,1047
90,300,90,1072
91,300,91,779
92,300,92,842
93,300,93,901
94,300,94,933
95,300,95,1206
96,300,96,823
97,300,97,1026
98,300,98,821
99,300,99,695
