,num_chunks,times,w1_drop_num,w2_drop_num,feedback_num
0,1000,0,996,1261,9
1,1000,1,1055,1297,8
2,1000,2,970,1242,9
3,1000,3,1082,1313,8
4,1000,4,1034,1292,9
5,1000,5,1029,1272,8
6,1000,6,991,1196,7
7,1000,7,1026,1225,7
8,1000,8,967,1239,9
9,1000,9,1090,1301,7
10,1000,10,994,1283,10
11,1000,11,1205,1404,7
12,1000,12,955,1218,9
13,1000,13,1035,1295,9
14,1000,14,1045,1274,8
15,1000,15,922,1162,8
16,1000,16,1049,1338,10
17,1000,17,971,1226,8
18,1000,18,945,1223,9
19,1000,19,1023,1258,8
20,1000,20,1011,1259,8
21,1000,21,953,1221,9
22,1000,22,1042,1272,8
23,1000,23,969,1228,9
24,1000,24,965,1254,10
25,1000,25,978,1207,8
26,1000,26,1014,1303,10
27,1000,27,1040,1312,9
28,1000,28,1052,1281,8
29,1000,29,1095,1317,7
30,1000,30,987,1217,8
31,1000,31,1012,1214,7
32,1000,32,946,1216,9
33,1000,33,1021,1269,8
34,1000,34,1055,1285,8
35,1000,35,1022,1238,7
36,1000,36,987,1248,9
37,1000,37,978,1215,8
38,1000,38,1006,1269,9
39,1000,39,983,1250,9
40,1000,40,1071,1331,9
41,1000,41,1043,1302,9
42,1000,42,1029,1252,7
43,1000,43,1004,1243,8
44,1000,44,1051,1310,9
45,1000,45,1008,1242,8
46,1000,46,1014,1251,8
47,1000,47,1119,1330,7
48,1000,48,940,1225,9
49,1000,49,978,1238,9
50,1000,50,954,1239,9
51,1000,51,984,1236,8
52,1000,52,1031,1294,9
53,1000,53,1014,1256,8
54,1000,54,978,1255,9
55,1000,55,987,1235,8
56,1000,56,1068,1306,8
57,1000,57,956,1248,10
58,1000,58,946,1207,9
59,1000,59,966,1206,8
60,1000,60,966,1229,9
61,1000,61,993,1235,8
62,1000,62,1049,1280,8
63,1000,63,947,1206,9
64,1000,64,989,1218,8
65,1000,65,1180,1351,6
66,1000,66,984,1239,8
67,1000,67,985,1227,8
68,1000,68,1082,1329,8
69,1000,69,992,1211,7
70,1000,70,984,1195,7
71,1000,71,1129,1332,7
72,1000,72,933,1240,10
73,1000,73,967,1198,8
74,1000,74,1023,1282,9
75,1000,75,968,1227,9
76,1000,76,1023,1252,8
77,1000,77,941,1260,11
78,1000,78,984,1233,8
79,1000,79,986,1219,8
80,1000,80,912,1210,10
81,1000,81,989,1255,9
82,1000,82,1027,1254,7
83,1000,83,932,1193,9
84,1000,84,964,1239,9
85,1000,85,1027,1244,7
86,1000,86,1162,1382,7
87,1000,87,965,1225,9
88,1000,88,951,1203,8
89,1000,89,955,1239,9
90,1000,90,964,1194,8
91,1000,91,957,1216,9
92,1000,92,1035,1270,8
93,1000,93,1039,1278,8
94,1000,94,1101,1351,8
95,1000,95,988,1265,9
96,1000,96,929,1225,10
97,1000,97,1157,1366,7
98,1000,98,933,1196,9
99,1000,99,949,1239,10
100,1000,100,1019,1284,9
101,1000,101,950,1237,9
102,1000,102,991,1248,8
103,1000,103,995,1237,8
104,1000,104,1074,1317,8
105,1000,105,923,1201,9
106,1000,106,971,1227,8
107,1000,107,1034,1263,8
108,1000,108,1001,1253,8
109,1000,109,957,1235,9
110,1000,110,1069,1301,8
111,1000,111,992,1239,8
112,1000,112,983,1261,9
113,1000,113,964,1214,8
114,1000,114,933,1213,9
115,1000,115,1032,1261,8
116,1000,116,1059,1288,8
117,1000,117,985,1247,9
118,1000,118,1021,1295,9
119,1000,119,1004,1269,9
120,1000,120,1073,1312,8
121,1000,121,943,1224,9
122,1000,122,919,1208,10
123,1000,123,961,1221,9
124,1000,124,975,1234,9
125,1000,125,997,1241,8
126,1000,126,1079,1321,8
127,1000,127,1061,1289,8
128,1000,128,1059,1288,8
129,1000,129,1035,1289,8
130,1000,130,1027,1266,8
131,1000,131,948,1188,8
132,1000,132,928,1217,10
133,1000,133,950,1240,10
134,1000,134,991,1252,9
135,1000,135,1044,1327,9
136,1000,136,1028,1281,8
137,1000,137,1077,1314,8
138,1000,138,1906,2018,4
139,1000,139,964,1224,9
140,1000,140,966,1222,8
141,1000,141,1038,1289,8
142,1000,142,983,1223,8
143,1000,143,1262,1442,6
144,1000,144,1017,1246,8
145,1000,145,1046,1252,7
146,1000,146,1028,1249,7
147,1000,147,1032,1299,9
148,1000,148,968,1208,8
149,1000,149,930,1219,10
150,1000,150,998,1249,8
151,1000,151,951,1259,10
152,1000,152,894,1201,10
153,1000,153,1084,1302,7
154,1000,154,982,1218,8
155,1000,155,1055,1287,8
156,1000,156,946,1203,8
157,1000,157,928,1220,10
158,1000,158,1006,1259,8
159,1000,159,992,1232,8
160,1000,160,948,1215,9
161,1000,161,985,1221,8
162,1000,162,1010,1260,8
163,1000,163,1018,1306,10
164,1000,164,1032,1279,8
165,1000,165,968,1214,8
166,1000,166,1028,1257,8
167,1000,167,955,1189,8
168,1000,168,992,1264,9
169,1000,169,1023,1249,7
170,1000,170,971,1257,9
171,1000,171,973,1211,8
172,1000,172,957,1224,9
173,1000,173,921,1213,10
174,1000,174,979,1240,9
175,1000,175,1044,1284,8
176,1000,176,996,1229,8
177,1000,177,1077,1292,7
178,1000,178,1056,1260,7
179,1000,179,903,1193,10
180,1000,180,1008,1246,8
181,1000,181,1009,1245,8
182,1000,182,992,1246,8
183,1000,183,956,1214,9
184,1000,184,1029,1274,8
185,1000,185,949,1194,8
186,1000,186,1022,1298,9
187,1000,187,1025,1264,8
188,1000,188,933,1199,9
189,1000,189,1043,1264,7
190,1000,190,985,1276,10
191,1000,191,961,1220,9
192,1000,192,974,1226,8
193,1000,193,1288,1517,8
194,1000,194,1039,1269,8
195,1000,195,1014,1266,8
196,1000,196,1053,1296,8
197,1000,197,958,1245,9
198,1000,198,1069,1334,9
199,1000,199,1103,1340,8
