,K,w1_avg_drops,w2_avg_drops,feedback_packet_avgs
0,100,121.325,175.95,1.86
1,150,174.89,244.41,2.385
2,200,226.17,310.745,2.825
3,250,274.535,375.425,3.435
4,300,330.82,441.45,3.755
5,350,381.39,504.975,4.165
6,400,425.8,562.15,4.58
7,450,479.515,625.68,4.91
8,500,525.775,680.33,5.19
9,550,571.705,736.235,5.53
10,600,622.955,799.465,5.92
11,650,673.41,858.78,6.275
12,700,720.015,916.675,6.605
13,750,771.935,975.625,6.825
14,800,822.245,1036.215,7.145
15,850,866.41,1090.085,7.47
16,900,918.835,1149.52,7.725
17,950,957.225,1201.64,8.16
18,1000,1009.78,1260.1,8.37
