,num_chunks,times,drop_num_used
0,400,0,547
1,400,1,603
2,400,2,573
3,400,3,502
4,400,4,494
5,400,5,481
6,400,6,522
7,400,7,579
8,400,8,575
9,400,9,507
10,400,10,514
11,400,11,494
12,400,12,512
13,400,13,511
14,400,14,522
15,400,15,521
16,400,16,515
17,400,17,494
18,400,18,510
19,400,19,564
20,400,20,562
21,400,21,515
22,400,22,490
23,400,23,527
24,400,24,475
25,400,25,499
26,400,26,525
27,400,27,497
28,400,28,527
29,400,29,570
30,400,30,473
31,400,31,512
32,400,32,515
33,400,33,492
34,400,34,575
35,400,35,488
36,400,36,527
37,400,37,495
38,400,38,507
39,400,39,568
40,400,40,534
41,400,41,494
42,400,42,508
43,400,43,493
44,400,44,500
45,400,45,550
46,400,46,497
47,400,47,525
48,400,48,502
49,400,49,530
50,400,50,503
51,400,51,538
52,400,52,483
53,400,53,518
54,400,54,534
55,400,55,544
56,400,56,556
57,400,57,469
58,400,58,495
59,400,59,530
60,400,60,506
61,400,61,487
62,400,62,540
63,400,63,481
64,400,64,504
65,400,65,537
66,400,66,498
67,400,67,653
68,400,68,533
69,400,69,503
70,400,70,508
71,400,71,491
72,400,72,518
73,400,73,530
74,400,74,581
75,400,75,526
76,400,76,504
77,400,77,564
78,400,78,541
79,400,79,589
80,400,80,495
81,400,81,505
82,400,82,486
83,400,83,505
84,400,84,518
85,400,85,515
86,400,86,553
87,400,87,546
88,400,88,484
89,400,89,512
90,400,90,525
91,400,91,497
92,400,92,487
93,400,93,531
94,400,94,490
95,400,95,523
96,400,96,482
97,400,97,470
98,400,98,506
99,400,99,592
