,per,avg_send_drops,avg_recv_drops,feedback_packet_avgs
0,0.01,682.065,675.27,4.47
1,0.02,686.245,672.57,4.58
2,0.03,693.26,672.86,4.62
3,0.04,701.785,674.115,4.61
4,0.05,704.945,670.04,4.61
5,0.06,714.18,670.575,4.4
6,0.07,715.68,665.815,4.57
7,0.08,730.01,672.075,4.645
8,0.09,732.8,667.83,4.57
9,0.1,745.255,670.815,4.41
10,0.125,760.875,665.735,4.465
11,0.15,785.465,668.855,4.45
12,0.175,810.475,667.345,4.475
13,0.2,830.505,664.91,4.5
14,0.225,862.16,667.185,4.405
15,0.25,880.11,660.52,4.485
16,0.275,917.39,664.355,4.425
17,0.3,948.49,664.455,4.345
18,0.325,982.635,663.01,4.31
19,0.35,1016.88,660.89,4.44
20,0.375,1055.935,659.04,4.465
21,0.4,1095.795,656.45,4.365
22,0.425,1133.505,652.065,4.34
23,0.45,1192.18,654.825,4.295
24,0.475,1259.62,659.005,4.255
25,0.5,1308.795,655.62,4.27
