,per,avg_send_drops,avg_recv_drops,feedback_packet_avgs
0,0,197.2,195.61,1.655
0,0.01,197.15,195.11,1.655
1,0.02,197.93,192.045,1.65
2,0.03,197.75,192.03,1.635
3,0.04,201.27,193.255,1.58
4,0.05,205.74,195.12,1.805
5,0.06,205.62,193.5,1.7
6,0.07,209.5,194.58,1.725
7,0.08,209.415,191.675,1.71
8,0.09,213.165,194.335,1.645
9,0.1,212.07,190.96,1.685
10,0.125,216.615,189.325,1.7
11,0.15,225.685,191.91,1.685
12,0.175,232.02,191.23,1.72
13,0.2,238.935,191.48,1.785
14,0.225,247.48,190.855,1.745
15,0.25,256.07,191.44,1.77
16,0.275,257.16,186.44,1.7
17,0.3,268.77,188.205,1.665
18,0.325,282.495,190.075,1.715
19,0.35,289.79,188.495,1.73
20,0.375,299.785,186.89,1.695
21,0.4,312.51,187.525,1.8
22,0.425,328.465,189.165,1.735
23,0.45,336.715,185.23,1.74
24,0.475,351.56,184.695,1.7
25,0.5,372.355,185.84,1.73
