,per,avg_send_drops,avg_recv_drops,feedback_packet_avgs
0,0,193.23,193.23,1.74
0,0.01,194.06,192.29,1.73
1,0.02,195.24,191.45,1.71
2,0.03,198.2,192.62,1.75
3,0.04,202.9,194.61,1.6
4,0.05,204.82,194.36,1.78
5,0.06,203.52,191.84,1.72
6,0.07,208.99,194.25,1.71
7,0.08,211.32,194.33,1.72
8,0.09,213.59,194.3,1.75
9,0.1,218.86,197.15,1.81
10,0.125,220.59,193.09,1.72
11,0.15,225.39,191.7,1.69
12,0.175,235.11,193.82,1.68
13,0.2,240.95,193.21,1.58
14,0.225,249.61,192.96,1.72
15,0.25,258.69,194.83,1.7
16,0.275,267.23,193.31,1.71
17,0.3,282.91,197.64,1.83
18,0.325,285.5,194.02,1.81
19,0.35,293.24,191.41,1.64
20,0.375,316.46,195.25,1.68
21,0.4,324.63,194.55,1.62
22,0.425,346.94,197.64,1.74
23,0.45,354.15,193.69,1.73
24,0.475,372.74,195.67,1.67
25,0.5,385.89,192.57,1.66
