,num_chunks,times,drop_num_used
0,450,0,502
1,450,1,495
2,450,2,497
3,450,3,492
4,450,4,501
5,450,5,492
6,450,6,491
7,450,7,484
8,450,8,491
9,450,9,498
10,450,10,501
11,450,11,493
12,450,12,489
13,450,13,487
14,450,14,491
15,450,15,497
16,450,16,488
17,450,17,491
18,450,18,478
19,450,19,491
20,450,20,490
21,450,21,481
22,450,22,492
23,450,23,497
24,450,24,501
25,450,25,485
26,450,26,482
27,450,27,497
28,450,28,500
29,450,29,491
30,450,30,501
31,450,31,494
32,450,32,498
33,450,33,476
34,450,34,493
35,450,35,485
36,450,36,491
37,450,37,491
38,450,38,493
39,450,39,478
40,450,40,481
41,450,41,493
42,450,42,474
43,450,43,494
44,450,44,483
45,450,45,493
46,450,46,485
47,450,47,497
48,450,48,489
49,450,49,491
50,450,50,481
51,450,51,491
52,450,52,492
53,450,53,499
54,450,54,493
55,450,55,487
56,450,56,486
57,450,57,484
58,450,58,486
59,450,59,491
60,450,60,491
61,450,61,485
62,450,62,501
63,450,63,491
64,450,64,488
65,450,65,492
66,450,66,491
67,450,67,486
68,450,68,491
69,450,69,489
70,450,70,484
71,450,71,490
72,450,72,483
73,450,73,491
74,450,74,481
75,450,75,492
76,450,76,491
77,450,77,483
78,450,78,482
79,450,79,483
80,450,80,491
81,450,81,485
82,450,82,489
83,450,83,501
84,450,84,501
85,450,85,489
86,450,86,487
87,450,87,488
88,450,88,501
89,450,89,481
90,450,90,487
91,450,91,486
92,450,92,484
93,450,93,487
94,450,94,481
95,450,95,493
96,450,96,489
97,450,97,501
98,450,98,484
99,450,99,491
