,num_chunks,times,drop_num_used
0,400,0,452
1,400,1,459
2,400,2,471
3,400,3,457
4,400,4,447
5,400,5,452
6,400,6,451
7,400,7,457
8,400,8,470
9,400,9,457
10,400,10,453
11,400,11,441
12,400,12,451
13,400,13,453
14,400,14,452
15,400,15,471
16,400,16,448
17,400,17,464
18,400,18,451
19,400,19,461
20,400,20,448
21,400,21,451
22,400,22,450
23,400,23,484
24,400,24,456
25,400,25,445
26,400,26,446
27,400,27,471
28,400,28,452
29,400,29,449
30,400,30,463
31,400,31,471
32,400,32,451
33,400,33,455
34,400,34,457
35,400,35,461
36,400,36,453
37,400,37,448
38,400,38,470
39,400,39,448
40,400,40,462
41,400,41,471
42,400,42,449
43,400,43,471
44,400,44,446
45,400,45,464
46,400,46,460
47,400,47,471
48,400,48,455
49,400,49,460
50,400,50,449
51,400,51,449
52,400,52,449
53,400,53,455
54,400,54,453
55,400,55,457
56,400,56,444
57,400,57,448
58,400,58,451
59,400,59,459
60,400,60,448
61,400,61,447
62,400,62,451
63,400,63,458
64,400,64,459
65,400,65,453
66,400,66,450
67,400,67,446
68,400,68,471
69,400,69,457
70,400,70,474
71,400,71,471
72,400,72,471
73,400,73,456
74,400,74,446
75,400,75,446
76,400,76,471
77,400,77,455
78,400,78,447
79,400,79,450
80,400,80,447
81,400,81,471
82,400,82,455
83,400,83,446
84,400,84,472
85,400,85,457
86,400,86,455
87,400,87,464
88,400,88,443
89,400,89,446
90,400,90,449
91,400,91,496
92,400,92,457
93,400,93,443
94,400,94,455
95,400,95,464
96,400,96,468
97,400,97,454
98,400,98,450
99,400,99,448
