,num_chunks,times,drop_num_used
0,300,0,336
1,300,1,333
2,300,2,335
3,300,3,328
4,300,4,334
5,300,5,332
6,300,6,329
7,300,7,330
8,300,8,328
9,300,9,320
10,300,10,323
11,300,11,319
12,300,12,322
13,300,13,326
14,300,14,334
15,300,15,325
16,300,16,321
17,300,17,331
18,300,18,322
19,300,19,333
20,300,20,326
21,300,21,330
22,300,22,331
23,300,23,331
24,300,24,330
25,300,25,331
26,300,26,335
27,300,27,330
28,300,28,329
29,300,29,323
30,300,30,319
31,300,31,329
32,300,32,322
33,300,33,325
34,300,34,321
35,300,35,325
36,300,36,338
37,300,37,319
38,300,38,326
39,300,39,324
40,300,40,324
41,300,41,329
42,300,42,326
43,300,43,334
44,300,44,326
45,300,45,327
46,300,46,326
47,300,47,338
48,300,48,326
49,300,49,323
50,300,50,331
51,300,51,332
52,300,52,329
53,300,53,331
54,300,54,321
55,300,55,324
56,300,56,327
57,300,57,335
58,300,58,330
59,300,59,331
60,300,60,326
61,300,61,328
62,300,62,323
63,300,63,326
64,300,64,329
65,300,65,336
66,300,66,333
67,300,67,328
68,300,68,326
69,300,69,331
70,300,70,327
71,300,71,321
72,300,72,329
73,300,73,328
74,300,74,336
75,300,75,326
76,300,76,329
77,300,77,331
78,300,78,324
79,300,79,328
80,300,80,331
81,300,81,331
82,300,82,326
83,300,83,333
84,300,84,326
85,300,85,337
86,300,86,326
87,300,87,327
88,300,88,331
89,300,89,323
90,300,90,331
91,300,91,323
92,300,92,336
93,300,93,333
94,300,94,325
95,300,95,341
96,300,96,327
97,300,97,318
98,300,98,321
99,300,99,326
