,num_chunks,times,drop_num_used
0,550,0,645
1,550,1,712
2,550,2,684
3,550,3,669
4,550,4,710
5,550,5,782
6,550,6,711
7,550,7,670
8,550,8,665
9,550,9,657
10,550,10,687
11,550,11,671
12,550,12,663
13,550,13,661
14,550,14,755
15,550,15,738
16,550,16,671
17,550,17,757
18,550,18,702
19,550,19,678
20,550,20,636
21,550,21,717
22,550,22,717
23,550,23,673
24,550,24,678
25,550,25,694
26,550,26,698
27,550,27,776
28,550,28,668
29,550,29,766
30,550,30,699
31,550,31,735
32,550,32,760
33,550,33,675
34,550,34,658
35,550,35,715
36,550,36,672
37,550,37,662
38,550,38,677
39,550,39,668
40,550,40,798
41,550,41,844
42,550,42,685
43,550,43,665
44,550,44,673
45,550,45,655
46,550,46,686
47,550,47,784
48,550,48,661
49,550,49,667
50,550,50,645
51,550,51,745
52,550,52,653
53,550,53,762
54,550,54,737
55,550,55,685
56,550,56,741
57,550,57,674
58,550,58,686
59,550,59,751
60,550,60,651
61,550,61,654
62,550,62,683
63,550,63,677
64,550,64,639
65,550,65,781
66,550,66,660
67,550,67,676
68,550,68,665
69,550,69,757
70,550,70,654
71,550,71,706
72,550,72,682
73,550,73,693
74,550,74,677
75,550,75,727
76,550,76,698
77,550,77,660
78,550,78,655
79,550,79,786
80,550,80,708
81,550,81,668
82,550,82,677
83,550,83,734
84,550,84,711
85,550,85,724
86,550,86,698
87,550,87,692
88,550,88,677
89,550,89,681
90,550,90,760
91,550,91,655
92,550,92,678
93,550,93,653
94,550,94,705
95,550,95,644
96,550,96,671
97,550,97,688
98,550,98,697
99,550,99,720
