,num_chunks,times,drop_num_used
0,50,0,66
1,50,1,64
2,50,2,63
3,50,3,71
4,50,4,62
5,50,5,62
6,50,6,71
7,50,7,68
8,50,8,70
9,50,9,63
10,50,10,66
11,50,11,69
12,50,12,71
13,50,13,61
14,50,14,73
15,50,15,65
16,50,16,71
17,50,17,69
18,50,18,74
19,50,19,63
20,50,20,67
21,50,21,71
22,50,22,66
23,50,23,62
24,50,24,71
25,50,25,71
26,50,26,71
27,50,27,62
28,50,28,64
29,50,29,67
30,50,30,64
31,50,31,65
32,50,32,63
33,50,33,62
34,50,34,70
35,50,35,71
36,50,36,77
37,50,37,63
38,50,38,71
39,50,39,70
40,50,40,70
41,50,41,66
42,50,42,62
43,50,43,62
44,50,44,73
45,50,45,71
46,50,46,71
47,50,47,68
48,50,48,62
49,50,49,70
50,50,50,68
51,50,51,70
52,50,52,61
53,50,53,62
54,50,54,65
55,50,55,65
56,50,56,64
57,50,57,71
58,50,58,71
59,50,59,65
60,50,60,63
61,50,61,65
62,50,62,62
63,50,63,66
64,50,64,66
65,50,65,65
66,50,66,63
67,50,67,71
68,50,68,69
69,50,69,70
70,50,70,58
71,50,71,67
72,50,72,63
73,50,73,66
74,50,74,64
75,50,75,57
76,50,76,61
77,50,77,65
78,50,78,69
79,50,79,65
80,50,80,63
81,50,81,68
82,50,82,68
83,50,83,69
84,50,84,67
85,50,85,65
86,50,86,65
87,50,87,71
88,50,88,66
89,50,89,65
90,50,90,72
91,50,91,66
92,50,92,71
93,50,93,71
94,50,94,61
95,50,95,65
96,50,96,72
97,50,97,72
98,50,98,71
99,50,99,64
