,num_chunks,times,drop_num_used
0,850,0,925
1,850,1,930
2,850,2,925
3,850,3,939
4,850,4,936
5,850,5,944
6,850,6,948
7,850,7,947
8,850,8,931
9,850,9,931
10,850,10,926
11,850,11,928
12,850,12,924
13,850,13,934
14,850,14,931
15,850,15,926
16,850,16,932
17,850,17,937
18,850,18,913
19,850,19,951
20,850,20,927
21,850,21,937
22,850,22,937
23,850,23,936
24,850,24,932
25,850,25,937
26,850,26,953
27,850,27,940
28,850,28,939
29,850,29,931
30,850,30,930
31,850,31,934
32,850,32,922
33,850,33,932
34,850,34,947
35,850,35,924
36,850,36,934
37,850,37,918
38,850,38,939
39,850,39,938
40,850,40,938
41,850,41,921
42,850,42,933
43,850,43,931
44,850,44,939
45,850,45,934
46,850,46,934
47,850,47,939
48,850,48,946
49,850,49,925
50,850,50,929
51,850,51,921
52,850,52,940
53,850,53,951
54,850,54,928
55,850,55,922
56,850,56,920
57,850,57,926
58,850,58,922
59,850,59,942
60,850,60,941
61,850,61,935
62,850,62,938
63,850,63,924
64,850,64,925
65,850,65,933
66,850,66,925
67,850,67,928
68,850,68,941
69,850,69,931
70,850,70,941
71,850,71,917
72,850,72,948
73,850,73,931
74,850,74,930
75,850,75,935
76,850,76,930
77,850,77,929
78,850,78,927
79,850,79,916
80,850,80,939
81,850,81,941
82,850,82,929
83,850,83,942
84,850,84,918
85,850,85,926
86,850,86,951
87,850,87,932
88,850,88,911
89,850,89,951
90,850,90,931
91,850,91,934
92,850,92,937
93,850,93,944
94,850,94,934
95,850,95,947
96,850,96,927
97,850,97,944
98,850,98,934
99,850,99,929
