,num_chunks,times,drop_num_used
0,1000,0,1086
1,1000,1,1127
2,1000,2,1102
3,1000,3,1107
4,1000,4,1101
5,1000,5,1095
6,1000,6,1122
7,1000,7,1109
8,1000,8,1111
9,1000,9,1111
10,1000,10,1094
11,1000,11,1103
12,1000,12,1106
13,1000,13,1103
14,1000,14,1094
15,1000,15,1103
16,1000,16,1103
17,1000,17,1140
18,1000,18,1099
19,1000,19,1112
20,1000,20,1102
21,1000,21,1107
22,1000,22,1108
23,1000,23,1101
24,1000,24,1101
25,1000,25,1093
26,1000,26,1102
27,1000,27,1114
28,1000,28,1107
29,1000,29,1101
30,1000,30,1106
31,1000,31,1086
32,1000,32,1108
33,1000,33,1102
34,1000,34,1100
35,1000,35,1105
36,1000,36,1093
37,1000,37,1101
38,1000,38,1126
39,1000,39,1101
40,1000,40,1114
41,1000,41,1105
42,1000,42,1101
43,1000,43,1127
44,1000,44,1106
45,1000,45,1093
46,1000,46,1104
47,1000,47,1081
48,1000,48,1126
49,1000,49,1110
50,1000,50,1097
51,1000,51,1085
52,1000,52,1094
53,1000,53,1097
54,1000,54,1106
55,1000,55,1106
56,1000,56,1109
57,1000,57,1103
58,1000,58,1107
59,1000,59,1107
60,1000,60,1093
61,1000,61,1084
62,1000,62,1106
63,1000,63,1079
64,1000,64,1111
65,1000,65,1102
66,1000,66,1124
67,1000,67,1102
68,1000,68,1116
69,1000,69,1113
70,1000,70,1112
71,1000,71,1098
72,1000,72,1094
73,1000,73,1114
74,1000,74,1085
75,1000,75,1103
76,1000,76,1110
77,1000,77,1083
78,1000,78,1103
79,1000,79,1126
80,1000,80,1110
81,1000,81,1103
82,1000,82,1105
83,1000,83,1101
84,1000,84,1109
85,1000,85,1094
86,1000,86,1113
87,1000,87,1126
88,1000,88,1105
89,1000,89,1126
90,1000,90,1103
91,1000,91,1092
92,1000,92,1104
93,1000,93,1110
94,1000,94,1098
95,1000,95,1108
96,1000,96,1112
97,1000,97,1129
98,1000,98,1129
99,1000,99,1114
