,num_chunks,times,drop_num_used
0,250,0,294
1,250,1,285
2,250,2,285
3,250,3,289
4,250,4,283
5,250,5,286
6,250,6,280
7,250,7,289
8,250,8,283
9,250,9,282
10,250,10,281
11,250,11,285
12,250,12,300
13,250,13,289
14,250,14,286
15,250,15,286
16,250,16,293
17,250,17,284
18,250,18,284
19,250,19,282
20,250,20,283
21,250,21,282
22,250,22,287
23,250,23,289
24,250,24,289
25,250,25,292
26,250,26,281
27,250,27,293
28,250,28,279
29,250,29,282
30,250,30,291
31,250,31,290
32,250,32,286
33,250,33,278
34,250,34,291
35,250,35,286
36,250,36,282
37,250,37,284
38,250,38,284
39,250,39,278
40,250,40,289
41,250,41,283
42,250,42,288
43,250,43,286
44,250,44,285
45,250,45,289
46,250,46,280
47,250,47,280
48,250,48,296
49,250,49,293
50,250,50,280
51,250,51,281
52,250,52,285
53,250,53,281
54,250,54,286
55,250,55,282
56,250,56,283
57,250,57,278
58,250,58,293
59,250,59,281
60,250,60,289
61,250,61,299
62,250,62,291
63,250,63,281
64,250,64,288
65,250,65,281
66,250,66,283
67,250,67,279
68,250,68,283
69,250,69,293
70,250,70,290
71,250,71,292
72,250,72,281
73,250,73,282
74,250,74,279
75,250,75,296
76,250,76,288
77,250,77,291
78,250,78,278
79,250,79,285
80,250,80,277
81,250,81,291
82,250,82,287
83,250,83,286
84,250,84,287
85,250,85,295
86,250,86,281
87,250,87,288
88,250,88,280
89,250,89,279
90,250,90,274
91,250,91,286
92,250,92,284
93,250,93,284
94,250,94,284
95,250,95,278
96,250,96,290
97,250,97,289
98,250,98,286
99,250,99,296
