,num_chunks,times,drop_num_used
0,650,0,701
1,650,1,702
2,650,2,690
3,650,3,693
4,650,4,692
5,650,5,694
6,650,6,701
7,650,7,693
8,650,8,695
9,650,9,702
10,650,10,700
11,650,11,691
12,650,12,700
13,650,13,693
14,650,14,688
15,650,15,687
16,650,16,694
17,650,17,713
18,650,18,706
19,650,19,693
20,650,20,701
21,650,21,702
22,650,22,692
23,650,23,696
24,650,24,689
25,650,25,688
26,650,26,700
27,650,27,701
28,650,28,705
29,650,29,701
30,650,30,690
31,650,31,695
32,650,32,700
33,650,33,703
34,650,34,692
35,650,35,702
36,650,36,681
37,650,37,702
38,650,38,706
39,650,39,693
40,650,40,699
41,650,41,694
42,650,42,697
43,650,43,699
44,650,44,690
45,650,45,694
46,650,46,701
47,650,47,690
48,650,48,695
49,650,49,701
50,650,50,699
51,650,51,701
52,650,52,698
53,650,53,689
54,650,54,711
55,650,55,698
56,650,56,698
57,650,57,691
58,650,58,704
59,650,59,693
60,650,60,691
61,650,61,701
62,650,62,698
63,650,63,698
64,650,64,703
65,650,65,702
66,650,66,701
67,650,67,693
68,650,68,691
69,650,69,697
70,650,70,701
71,650,71,694
72,650,72,701
73,650,73,701
74,650,74,700
75,650,75,701
76,650,76,701
77,650,77,701
78,650,78,693
79,650,79,705
80,650,80,688
81,650,81,697
82,650,82,696
83,650,83,700
84,650,84,696
85,650,85,706
86,650,86,701
87,650,87,683
88,650,88,686
89,650,89,691
90,650,90,684
91,650,91,684
92,650,92,686
93,650,93,695
94,650,94,701
95,650,95,701
96,650,96,691
97,650,97,688
98,650,98,696
99,650,99,701
