,num_chunks,times,drop_num_used
0,100,0,133
1,100,1,115
2,100,2,127
3,100,3,131
4,100,4,131
5,100,5,127
6,100,6,127
7,100,7,132
8,100,8,131
9,100,9,131
10,100,10,136
11,100,11,132
12,100,12,120
13,100,13,131
14,100,14,121
15,100,15,131
16,100,16,131
17,100,17,131
18,100,18,116
19,100,19,133
20,100,20,134
21,100,21,123
22,100,22,124
23,100,23,123
24,100,24,146
25,100,25,143
26,100,26,131
27,100,27,136
28,100,28,131
29,100,29,132
30,100,30,139
31,100,31,138
32,100,32,132
33,100,33,132
34,100,34,137
35,100,35,132
36,100,36,133
37,100,37,125
38,100,38,141
39,100,39,131
40,100,40,127
41,100,41,132
42,100,42,131
43,100,43,128
44,100,44,129
45,100,45,125
46,100,46,133
47,100,47,121
48,100,48,135
49,100,49,128
50,100,50,145
51,100,51,131
52,100,52,123
53,100,53,135
54,100,54,131
55,100,55,131
56,100,56,132
57,100,57,126
58,100,58,131
59,100,59,123
60,100,60,133
61,100,61,131
62,100,62,128
63,100,63,131
64,100,64,133
65,100,65,140
66,100,66,132
67,100,67,138
68,100,68,137
69,100,69,133
70,100,70,136
71,100,71,131
72,100,72,131
73,100,73,135
74,100,74,134
75,100,75,133
76,100,76,131
77,100,77,131
78,100,78,132
79,100,79,131
80,100,80,122
81,100,81,142
82,100,82,148
83,100,83,114
84,100,84,123
85,100,85,126
86,100,86,120
87,100,87,138
88,100,88,132
89,100,89,137
90,100,90,136
91,100,91,134
92,100,92,122
93,100,93,138
94,100,94,131
95,100,95,134
96,100,96,121
97,100,97,134
98,100,98,131
99,100,99,128
