,num_chunks,times,drop_num_used
0,900,0,948
1,900,1,942
2,900,2,944
3,900,3,950
4,900,4,933
5,900,5,954
6,900,6,947
7,900,7,944
8,900,8,946
9,900,9,948
10,900,10,946
11,900,11,950
12,900,12,960
13,900,13,955
14,900,14,947
15,900,15,957
16,900,16,938
17,900,17,952
18,900,18,952
19,900,19,953
20,900,20,948
21,900,21,947
22,900,22,934
23,900,23,963
24,900,24,940
25,900,25,962
26,900,26,946
27,900,27,944
28,900,28,938
29,900,29,950
30,900,30,948
31,900,31,946
32,900,32,946
33,900,33,946
34,900,34,950
35,900,35,941
36,900,36,941
37,900,37,941
38,900,38,948
39,900,39,941
40,900,40,954
41,900,41,942
42,900,42,946
43,900,43,936
44,900,44,942
45,900,45,951
46,900,46,947
47,900,47,943
48,900,48,936
49,900,49,942
50,900,50,953
51,900,51,949
52,900,52,939
53,900,53,960
54,900,54,941
55,900,55,941
56,900,56,937
57,900,57,950
58,900,58,951
59,900,59,941
60,900,60,946
61,900,61,948
62,900,62,956
63,900,63,953
64,900,64,948
65,900,65,957
66,900,66,946
67,900,67,944
68,900,68,955
69,900,69,938
70,900,70,940
71,900,71,962
72,900,72,954
73,900,73,941
74,900,74,933
75,900,75,952
76,900,76,943
77,900,77,961
78,900,78,946
79,900,79,950
80,900,80,966
81,900,81,965
82,900,82,940
83,900,83,936
84,900,84,936
85,900,85,941
86,900,86,946
87,900,87,956
88,900,88,951
89,900,89,951
90,900,90,945
91,900,91,927
92,900,92,954
93,900,93,937
94,900,94,942
95,900,95,946
96,900,96,957
97,900,97,944
98,900,98,951
99,900,99,941
