,num_chunks,times,drop_num_used
0,850,0,940
1,850,1,941
2,850,2,943
3,850,3,931
4,850,4,953
5,850,5,951
6,850,6,947
7,850,7,941
8,850,8,945
9,850,9,941
10,850,10,943
11,850,11,948
12,850,12,937
13,850,13,951
14,850,14,936
15,850,15,952
16,850,16,951
17,850,17,935
18,850,18,935
19,850,19,946
20,850,20,951
21,850,21,956
22,850,22,935
23,850,23,938
24,850,24,953
25,850,25,931
26,850,26,950
27,850,27,937
28,850,28,950
29,850,29,947
30,850,30,938
31,850,31,937
32,850,32,944
33,850,33,960
34,850,34,952
35,850,35,951
36,850,36,933
37,850,37,936
38,850,38,936
39,850,39,936
40,850,40,925
41,850,41,948
42,850,42,951
43,850,43,936
44,850,44,943
45,850,45,931
46,850,46,931
47,850,47,954
48,850,48,941
49,850,49,936
50,850,50,939
51,850,51,941
52,850,52,930
53,850,53,940
54,850,54,955
55,850,55,928
56,850,56,922
57,850,57,933
58,850,58,938
59,850,59,938
60,850,60,957
61,850,61,955
62,850,62,919
63,850,63,935
64,850,64,931
65,850,65,937
66,850,66,946
67,850,67,937
68,850,68,938
69,850,69,946
70,850,70,936
71,850,71,929
72,850,72,946
73,850,73,943
74,850,74,955
75,850,75,950
76,850,76,945
77,850,77,938
78,850,78,951
79,850,79,931
80,850,80,944
81,850,81,921
82,850,82,937
83,850,83,947
84,850,84,951
85,850,85,926
86,850,86,940
87,850,87,956
88,850,88,944
89,850,89,933
90,850,90,936
91,850,91,934
92,850,92,926
93,850,93,935
94,850,94,945
95,850,95,931
96,850,96,935
97,850,97,935
98,850,98,934
99,850,99,957
