,num_chunks,times,drop_num_used
0,700,0,733
1,700,1,741
2,700,2,733
3,700,3,741
4,700,4,757
5,700,5,737
6,700,6,736
7,700,7,737
8,700,8,744
9,700,9,736
10,700,10,748
11,700,11,740
12,700,12,750
13,700,13,738
14,700,14,741
15,700,15,744
16,700,16,741
17,700,17,747
18,700,18,748
19,700,19,743
20,700,20,750
21,700,21,750
22,700,22,742
23,700,23,741
24,700,24,744
25,700,25,741
26,700,26,746
27,700,27,741
28,700,28,741
29,700,29,734
30,700,30,746
31,700,31,730
32,700,32,744
33,700,33,734
34,700,34,741
35,700,35,727
36,700,36,735
37,700,37,742
38,700,38,743
39,700,39,733
40,700,40,751
41,700,41,742
42,700,42,737
43,700,43,743
44,700,44,731
45,700,45,744
46,700,46,739
47,700,47,741
48,700,48,746
49,700,49,757
50,700,50,741
51,700,51,745
52,700,52,742
53,700,53,743
54,700,54,727
55,700,55,749
56,700,56,741
57,700,57,740
58,700,58,742
59,700,59,743
60,700,60,751
61,700,61,741
62,700,62,735
63,700,63,737
64,700,64,741
65,700,65,746
66,700,66,741
67,700,67,740
68,700,68,747
69,700,69,742
70,700,70,749
71,700,71,743
72,700,72,731
73,700,73,742
74,700,74,737
75,700,75,734
76,700,76,739
77,700,77,751
78,700,78,734
79,700,79,743
80,700,80,741
81,700,81,751
82,700,82,727
83,700,83,741
84,700,84,750
85,700,85,751
86,700,86,757
87,700,87,734
88,700,88,749
89,700,89,736
90,700,90,741
91,700,91,742
92,700,92,742
93,700,93,749
94,700,94,738
95,700,95,741
96,700,96,741
97,700,97,731
98,700,98,744
99,700,99,732
