,num_chunks,times,drop_num_used
0,500,0,532
1,500,1,538
2,500,2,536
3,500,3,541
4,500,4,551
5,500,5,541
6,500,6,527
7,500,7,545
8,500,8,542
9,500,9,535
10,500,10,534
11,500,11,541
12,500,12,531
13,500,13,551
14,500,14,541
15,500,15,542
16,500,16,534
17,500,17,536
18,500,18,551
19,500,19,533
20,500,20,541
21,500,21,531
22,500,22,541
23,500,23,538
24,500,24,535
25,500,25,529
26,500,26,534
27,500,27,531
28,500,28,540
29,500,29,538
30,500,30,541
31,500,31,535
32,500,32,533
33,500,33,542
34,500,34,541
35,500,35,534
36,500,36,533
37,500,37,538
38,500,38,541
39,500,39,525
40,500,40,542
41,500,41,529
42,500,42,531
43,500,43,529
44,500,44,533
45,500,45,541
46,500,46,531
47,500,47,532
48,500,48,542
49,500,49,532
50,500,50,539
51,500,51,531
52,500,52,531
53,500,53,529
54,500,54,535
55,500,55,529
56,500,56,541
57,500,57,534
58,500,58,543
59,500,59,531
60,500,60,531
61,500,61,536
62,500,62,541
63,500,63,532
64,500,64,542
65,500,65,531
66,500,66,534
67,500,67,532
68,500,68,534
69,500,69,532
70,500,70,551
71,500,71,542
72,500,72,545
73,500,73,531
74,500,74,528
75,500,75,549
76,500,76,534
77,500,77,535
78,500,78,532
79,500,79,532
80,500,80,531
81,500,81,532
82,500,82,536
83,500,83,532
84,500,84,535
85,500,85,541
86,500,86,538
87,500,87,535
88,500,88,535
89,500,89,531
90,500,90,543
91,500,91,532
92,500,92,536
93,500,93,539
94,500,94,531
95,500,95,541
96,500,96,541
97,500,97,542
98,500,98,532
99,500,99,529
