,num_chunks,times,drop_num_used
0,800,0,846
1,800,1,853
2,800,2,848
3,800,3,862
4,800,4,859
5,800,5,856
6,800,6,848
7,800,7,859
8,800,8,847
9,800,9,856
10,800,10,859
11,800,11,864
12,800,12,846
13,800,13,869
14,800,14,846
15,800,15,856
16,800,16,861
17,800,17,852
18,800,18,855
19,800,19,852
20,800,20,851
21,800,21,860
22,800,22,861
23,800,23,854
24,800,24,847
25,800,25,858
26,800,26,856
27,800,27,859
28,800,28,861
29,800,29,852
30,800,30,861
31,800,31,861
32,800,32,861
33,800,33,856
34,800,34,851
35,800,35,866
36,800,36,856
37,800,37,866
38,800,38,861
39,800,39,847
40,800,40,856
41,800,41,852
42,800,42,856
43,800,43,843
44,800,44,860
45,800,45,858
46,800,46,866
47,800,47,855
48,800,48,844
49,800,49,859
50,800,50,866
51,800,51,848
52,800,52,852
53,800,53,863
54,800,54,853
55,800,55,871
56,800,56,856
57,800,57,841
58,800,58,857
59,800,59,847
60,800,60,847
61,800,61,855
62,800,62,861
63,800,63,865
64,800,64,856
65,800,65,848
66,800,66,858
67,800,67,858
68,800,68,848
69,800,69,861
70,800,70,863
71,800,71,851
72,800,72,866
73,800,73,869
74,800,74,856
75,800,75,844
76,800,76,850
77,800,77,859
78,800,78,856
79,800,79,851
80,800,80,855
81,800,81,866
82,800,82,851
83,800,83,851
84,800,84,857
85,800,85,856
86,800,86,853
87,800,87,866
88,800,88,851
89,800,89,851
90,800,90,859
91,800,91,856
92,800,92,861
93,800,93,848
94,800,94,858
95,800,95,843
96,800,96,846
97,800,97,854
98,800,98,856
99,800,99,853
