,num_chunks,times,drop_num_used
0,850,0,908
1,850,1,901
2,850,2,914
3,850,3,919
4,850,4,905
5,850,5,921
6,850,6,921
7,850,7,903
8,850,8,910
9,850,9,917
10,850,10,935
11,850,11,929
12,850,12,917
13,850,13,929
14,850,14,904
15,850,15,912
16,850,16,906
17,850,17,907
18,850,18,924
19,850,19,915
20,850,20,916
21,850,21,903
22,850,22,911
23,850,23,921
24,850,24,921
25,850,25,925
26,850,26,923
27,850,27,912
28,850,28,924
29,850,29,923
30,850,30,904
31,850,31,909
32,850,32,921
33,850,33,920
34,850,34,926
35,850,35,905
36,850,36,923
37,850,37,921
38,850,38,921
39,850,39,901
40,850,40,914
41,850,41,896
42,850,42,921
43,850,43,908
44,850,44,922
45,850,45,922
46,850,46,921
47,850,47,916
48,850,48,908
49,850,49,920
50,850,50,922
51,850,51,921
52,850,52,910
53,850,53,916
54,850,54,912
55,850,55,913
56,850,56,921
57,850,57,910
58,850,58,903
59,850,59,920
60,850,60,903
61,850,61,902
62,850,62,908
63,850,63,910
64,850,64,914
65,850,65,921
66,850,66,926
67,850,67,921
68,850,68,902
69,850,69,914
70,850,70,915
71,850,71,901
72,850,72,921
73,850,73,916
74,850,74,921
75,850,75,901
76,850,76,916
77,850,77,915
78,850,78,905
79,850,79,921
80,850,80,908
81,850,81,905
82,850,82,913
83,850,83,922
84,850,84,911
85,850,85,923
86,850,86,904
87,850,87,911
88,850,88,921
89,850,89,905
90,850,90,921
91,850,91,907
92,850,92,918
93,850,93,923
94,850,94,909
95,850,95,901
96,850,96,917
97,850,97,905
98,850,98,902
99,850,99,928
