,num_chunks,times,drop_num_used
0,800,0,832
1,800,1,832
2,800,2,836
3,800,3,825
4,800,4,826
5,800,5,845
6,800,6,841
7,800,7,836
8,800,8,831
9,800,9,831
10,800,10,836
11,800,11,826
12,800,12,827
13,800,13,838
14,800,14,841
15,800,15,827
16,800,16,831
17,800,17,821
18,800,18,836
19,800,19,840
20,800,20,826
21,800,21,833
22,800,22,830
23,800,23,829
24,800,24,836
25,800,25,841
26,800,26,838
27,800,27,837
28,800,28,832
29,800,29,826
30,800,30,831
31,800,31,836
32,800,32,831
33,800,33,831
34,800,34,831
35,800,35,828
36,800,36,827
37,800,37,836
38,800,38,830
39,800,39,827
40,800,40,827
41,800,41,826
42,800,42,827
43,800,43,836
44,800,44,836
45,800,45,829
46,800,46,826
47,800,47,829
48,800,48,825
49,800,49,829
50,800,50,827
51,800,51,826
52,800,52,846
53,800,53,831
54,800,54,826
55,800,55,824
56,800,56,835
57,800,57,829
58,800,58,831
59,800,59,827
60,800,60,831
61,800,61,833
62,800,62,836
63,800,63,827
64,800,64,825
65,800,65,831
66,800,66,836
67,800,67,831
68,800,68,842
69,800,69,827
70,800,70,823
71,800,71,826
72,800,72,841
73,800,73,824
74,800,74,827
75,800,75,836
76,800,76,829
77,800,77,834
78,800,78,831
79,800,79,834
80,800,80,826
81,800,81,823
82,800,82,831
83,800,83,825
84,800,84,831
85,800,85,835
86,800,86,842
87,800,87,835
88,800,88,836
89,800,89,841
90,800,90,839
91,800,91,846
92,800,92,841
93,800,93,830
94,800,94,832
95,800,95,835
96,800,96,836
97,800,97,831
98,800,98,826
99,800,99,826
