,num_chunks,times,drop_num_used
0,250,0,273
1,250,1,269
2,250,2,273
3,250,3,276
4,250,4,271
5,250,5,275
6,250,6,266
7,250,7,276
8,250,8,269
9,250,9,271
10,250,10,268
11,250,11,270
12,250,12,273
13,250,13,266
14,250,14,272
15,250,15,276
16,250,16,271
17,250,17,272
18,250,18,273
19,250,19,271
20,250,20,271
21,250,21,270
22,250,22,270
23,250,23,271
24,250,24,267
25,250,25,271
26,250,26,271
27,250,27,271
28,250,28,278
29,250,29,270
30,250,30,271
31,250,31,266
32,250,32,271
33,250,33,266
34,250,34,262
35,250,35,268
36,250,36,269
37,250,37,273
38,250,38,261
39,250,39,271
40,250,40,274
41,250,41,268
42,250,42,270
43,250,43,261
44,250,44,271
45,250,45,272
46,250,46,271
47,250,47,276
48,250,48,268
49,250,49,271
50,250,50,271
51,250,51,267
52,250,52,270
53,250,53,270
54,250,54,269
55,250,55,266
56,250,56,276
57,250,57,269
58,250,58,271
59,250,59,272
60,250,60,265
61,250,61,274
62,250,62,271
63,250,63,267
64,250,64,264
65,250,65,268
66,250,66,271
67,250,67,276
68,250,68,267
69,250,69,276
70,250,70,275
71,250,71,273
72,250,72,266
73,250,73,269
74,250,74,264
75,250,75,266
76,250,76,267
77,250,77,276
78,250,78,271
79,250,79,269
80,250,80,276
81,250,81,271
82,250,82,269
83,250,83,271
84,250,84,266
85,250,85,269
86,250,86,266
87,250,87,271
88,250,88,276
89,250,89,263
90,250,90,266
91,250,91,269
92,250,92,271
93,250,93,267
94,250,94,276
95,250,95,272
96,250,96,272
97,250,97,266
98,250,98,270
99,250,99,262
