,num_chunks,times,drop_num_used
0,100,0,133
1,100,1,126
2,100,2,127
3,100,3,116
4,100,4,129
5,100,5,130
6,100,6,121
7,100,7,134
8,100,8,127
9,100,9,126
10,100,10,127
11,100,11,123
12,100,12,134
13,100,13,133
14,100,14,151
15,100,15,137
16,100,16,136
17,100,17,128
18,100,18,127
19,100,19,134
20,100,20,132
21,100,21,135
22,100,22,128
23,100,23,129
24,100,24,118
25,100,25,126
26,100,26,151
27,100,27,129
28,100,28,121
29,100,29,128
30,100,30,129
31,100,31,127
32,100,32,130
33,100,33,131
34,100,34,131
35,100,35,122
36,100,36,126
37,100,37,122
38,100,38,133
39,100,39,140
40,100,40,131
41,100,41,128
42,100,42,132
43,100,43,128
44,100,44,127
45,100,45,121
46,100,46,122
47,100,47,126
48,100,48,151
49,100,49,151
50,100,50,151
51,100,51,124
52,100,52,126
53,100,53,132
54,100,54,128
55,100,55,128
56,100,56,126
57,100,57,126
58,100,58,129
59,100,59,127
60,100,60,123
61,100,61,121
62,100,62,134
63,100,63,127
64,100,64,152
65,100,65,128
66,100,66,128
67,100,67,126
68,100,68,127
69,100,69,137
70,100,70,129
71,100,71,124
72,100,72,135
73,100,73,130
74,100,74,129
75,100,75,135
76,100,76,132
77,100,77,121
78,100,78,131
79,100,79,126
80,100,80,137
81,100,81,137
82,100,82,128
83,100,83,133
84,100,84,147
85,100,85,127
86,100,86,126
87,100,87,136
88,100,88,142
89,100,89,132
90,100,90,151
91,100,91,129
92,100,92,140
93,100,93,136
94,100,94,135
95,100,95,132
96,100,96,129
97,100,97,127
98,100,98,129
99,100,99,133
