,num_chunks,times,drop_num_used
0,650,0,728
1,650,1,730
2,650,2,726
3,650,3,715
4,650,4,732
5,650,5,702
6,650,6,741
7,650,7,727
8,650,8,726
9,650,9,726
10,650,10,719
11,650,11,743
12,650,12,727
13,650,13,706
14,650,14,751
15,650,15,729
16,650,16,729
17,650,17,743
18,650,18,725
19,650,19,726
20,650,20,717
21,650,21,727
22,650,22,730
23,650,23,708
24,650,24,707
25,650,25,729
26,650,26,726
27,650,27,727
28,650,28,734
29,650,29,737
30,650,30,732
31,650,31,738
32,650,32,726
33,650,33,726
34,650,34,720
35,650,35,728
36,650,36,734
37,650,37,726
38,650,38,726
39,650,39,726
40,650,40,731
41,650,41,731
42,650,42,726
43,650,43,726
44,650,44,728
45,650,45,750
46,650,46,726
47,650,47,735
48,650,48,726
49,650,49,721
50,650,50,726
51,650,51,733
52,650,52,751
53,650,53,732
54,650,54,730
55,650,55,727
56,650,56,704
57,650,57,729
58,650,58,706
59,650,59,735
60,650,60,727
61,650,61,738
62,650,62,742
63,650,63,728
64,650,64,726
65,650,65,727
66,650,66,731
67,650,67,726
68,650,68,735
69,650,69,727
70,650,70,732
71,650,71,727
72,650,72,722
73,650,73,726
74,650,74,709
75,650,75,726
76,650,76,726
77,650,77,733
78,650,78,734
79,650,79,730
80,650,80,726
81,650,81,710
82,650,82,726
83,650,83,729
84,650,84,731
85,650,85,731
86,650,86,729
87,650,87,726
88,650,88,730
89,650,89,726
90,650,90,730
91,650,91,724
92,650,92,738
93,650,93,728
94,650,94,735
95,650,95,734
96,650,96,728
97,650,97,726
98,650,98,727
99,650,99,730
