,num_chunks,times,drop_num_used
0,850,0,896
1,850,1,907
2,850,2,921
3,850,3,897
4,850,4,909
5,850,5,904
6,850,6,911
7,850,7,925
8,850,8,894
9,850,9,917
10,850,10,916
11,850,11,915
12,850,12,916
13,850,13,901
14,850,14,924
15,850,15,911
16,850,16,907
17,850,17,922
18,850,18,918
19,850,19,917
20,850,20,920
21,850,21,923
22,850,22,913
23,850,23,913
24,850,24,901
25,850,25,915
26,850,26,906
27,850,27,913
28,850,28,918
29,850,29,914
30,850,30,905
31,850,31,911
32,850,32,916
33,850,33,915
34,850,34,923
35,850,35,921
36,850,36,912
37,850,37,919
38,850,38,902
39,850,39,911
40,850,40,921
41,850,41,921
42,850,42,916
43,850,43,917
44,850,44,905
45,850,45,900
46,850,46,916
47,850,47,906
48,850,48,909
49,850,49,912
50,850,50,914
51,850,51,911
52,850,52,907
53,850,53,923
54,850,54,917
55,850,55,916
56,850,56,906
57,850,57,902
58,850,58,906
59,850,59,898
60,850,60,912
61,850,61,907
62,850,62,911
63,850,63,901
64,850,64,905
65,850,65,921
66,850,66,891
67,850,67,907
68,850,68,914
69,850,69,909
70,850,70,910
71,850,71,901
72,850,72,906
73,850,73,916
74,850,74,913
75,850,75,912
76,850,76,911
77,850,77,921
78,850,78,914
79,850,79,912
80,850,80,908
81,850,81,902
82,850,82,916
83,850,83,922
84,850,84,906
85,850,85,910
86,850,86,907
87,850,87,920
88,850,88,912
89,850,89,903
90,850,90,931
91,850,91,911
92,850,92,911
93,850,93,918
94,850,94,921
95,850,95,926
96,850,96,906
97,850,97,901
98,850,98,907
99,850,99,901
