,num_chunks,times,drop_num_used
0,300,0,335
1,300,1,336
2,300,2,329
3,300,3,341
4,300,4,334
5,300,5,328
6,300,6,327
7,300,7,331
8,300,8,331
9,300,9,331
10,300,10,335
11,300,11,328
12,300,12,325
13,300,13,345
14,300,14,332
15,300,15,331
16,300,16,336
17,300,17,336
18,300,18,336
19,300,19,331
20,300,20,336
21,300,21,331
22,300,22,329
23,300,23,329
24,300,24,330
25,300,25,333
26,300,26,341
27,300,27,337
28,300,28,335
29,300,29,341
30,300,30,332
31,300,31,333
32,300,32,333
33,300,33,331
34,300,34,326
35,300,35,331
36,300,36,326
37,300,37,330
38,300,38,336
39,300,39,337
40,300,40,333
41,300,41,331
42,300,42,334
43,300,43,332
44,300,44,333
45,300,45,331
46,300,46,331
47,300,47,336
48,300,48,334
49,300,49,345
50,300,50,329
51,300,51,332
52,300,52,338
53,300,53,336
54,300,54,336
55,300,55,343
56,300,56,325
57,300,57,342
58,300,58,342
59,300,59,334
60,300,60,341
61,300,61,331
62,300,62,329
63,300,63,335
64,300,64,339
65,300,65,338
66,300,66,338
67,300,67,326
68,300,68,332
69,300,69,341
70,300,70,336
71,300,71,341
72,300,72,331
73,300,73,327
74,300,74,340
75,300,75,341
76,300,76,332
77,300,77,339
78,300,78,332
79,300,79,328
80,300,80,331
81,300,81,335
82,300,82,329
83,300,83,341
84,300,84,336
85,300,85,331
86,300,86,336
87,300,87,334
88,300,88,336
89,300,89,337
90,300,90,334
91,300,91,331
92,300,92,327
93,300,93,331
94,300,94,327
95,300,95,332
96,300,96,326
97,300,97,339
98,300,98,328
99,300,99,342
