,num_chunks,times,drop_num_used
0,600,0,1039
1,600,1,923
2,600,2,1096
3,600,3,714
4,600,4,1864
5,600,5,917
6,600,6,1160
7,600,7,1218
8,600,8,974
9,600,9,1716
10,600,10,1801
11,600,11,1456
12,600,12,1226
13,600,13,822
14,600,14,1214
15,600,15,2425
16,600,16,1625
17,600,17,1159
18,600,18,1577
19,600,19,956
20,600,20,1431
21,600,21,2795
22,600,22,1754
23,600,23,1440
24,600,24,1709
25,600,25,1649
26,600,26,1001
27,600,27,868
28,600,28,3384
29,600,29,1409
30,600,30,1616
31,600,31,1876
32,600,32,1245
33,600,33,3168
34,600,34,799
35,600,35,690
36,600,36,1193
37,600,37,2732
38,600,38,1192
39,600,39,2081
40,600,40,1846
41,600,41,1112
42,600,42,1137
43,600,43,1684
44,600,44,2068
45,600,45,1383
46,600,46,1305
47,600,47,1181
48,600,48,924
49,600,49,1213
50,600,50,829
51,600,51,1169
52,600,52,1661
53,600,53,929
54,600,54,1086
55,600,55,1414
56,600,56,1273
57,600,57,1191
58,600,58,1156
59,600,59,1313
60,600,60,1012
61,600,61,1385
62,600,62,2121
63,600,63,1038
64,600,64,1478
65,600,65,1432
66,600,66,798
67,600,67,1417
68,600,68,1151
69,600,69,1790
70,600,70,942
71,600,71,1480
72,600,72,780
73,600,73,3700
74,600,74,1670
75,600,75,1300
76,600,76,1604
77,600,77,882
78,600,78,1264
79,600,79,781
80,600,80,930
81,600,81,1184
82,600,82,1107
83,600,83,1122
84,600,84,1422
85,600,85,1215
86,600,86,1643
87,600,87,1456
88,600,88,982
89,600,89,1087
90,600,90,999
91,600,91,3084
92,600,92,1261
93,600,93,1426
94,600,94,700
95,600,95,687
96,600,96,911
97,600,97,1338
98,600,98,1287
99,600,99,1170
