,psnr,size,file_list
0,-38.357856469533715,0.01,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_1_100.bmp
1,-37.40567279897297,0.02,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_2_100.bmp
2,-36.362474732588545,0.03,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_3_100.bmp
3,-35.137905468616516,0.04,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_4_100.bmp
4,-34.49832970806607,0.05,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_5_100.bmp
5,-34.49832970806607,0.06,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_6_100.bmp
6,-34.49832970806607,0.07,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_7_100.bmp
7,-34.49832970806607,0.08,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_8_100.bmp
8,-34.49832970806607,0.09,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_9_100.bmp
9,-34.49832970806607,0.1,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_10_100.bmp
10,-34.49832970806607,0.11,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_11_100.bmp
11,-34.00049157284819,0.12,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_12_100.bmp
12,-33.18069715177448,0.13,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_13_100.bmp
13,0.0,0.0, 
14,-29.86838951695123,0.15,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_15_100.bmp
15,-29.526279341150406,0.16,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_16_100.bmp
16,-29.526279341150406,0.17,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_17_100.bmp
17,-29.526279341150406,0.18,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_18_100.bmp
18,-29.526279341150406,0.19,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_19_100.bmp
19,-29.526279341150406,0.2,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_20_100.bmp
20,-29.526279341150406,0.21,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_21_100.bmp
21,-29.526279341150406,0.22,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_22_100.bmp
22,-28.80550672231947,0.23,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_23_100.bmp
23,-26.925437845139648,0.24,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_24_100.bmp
24,-26.31597371801071,0.25,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_25_100.bmp
25,-26.107871742846747,0.26,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_26_100.bmp
26,-26.061521064455068,0.27,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_27_100.bmp
27,-26.03924634445095,0.28,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_28_100.bmp
28,-26.03924634445095,0.29,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_29_100.bmp
29,-26.024599057353516,0.3,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_30_100.bmp
30,-26.024599057353516,0.31,F:/lab_code/img_dwt/lib\../simulation\processing\Tue_Aug_20_11_13_25_2019\whale_31_100.bmp
