,psnr,size,file_list
0,11.70893388,0.1,F:/UVLC_image_serial/lib\../simulation\processing\Mon_Dec__9_21_27_21_2019\lena_1_10.bmp
1,16.6342563,0.2,F:/UVLC_image_serial/lib\../simulation\processing\Mon_Dec__9_21_27_21_2019\lena_2_10.bmp
2,21.25601537,0.3,F:/UVLC_image_serial/lib\../simulation\processing\Mon_Dec__9_21_27_21_2019\lena_3_10.bmp
3,24.27476087,0.4,F:/UVLC_image_serial/lib\../simulation\processing\Mon_Dec__9_21_27_21_2019\lena_4_10.bmp
4,26.85183064,0.5, 
5,28.75418295,0.6,F:/UVLC_image_serial/lib\../simulation\processing\Mon_Dec__9_21_27_21_2019\lena_6_10.bmp
6,30.15560666,0.7,F:/UVLC_image_serial/lib\../simulation\processing\Mon_Dec__9_21_27_21_2019\lena_7_10.bmp
7,31.81795964,0.8,F:/UVLC_image_serial/lib\../simulation\processing\Mon_Dec__9_21_27_21_2019\lena_8_10.bmp
8,32.81073699,0.9,F:/UVLC_image_serial/lib\../simulation\processing\Mon_Dec__9_21_27_21_2019\lena_9_10.bmp
9,33.70953096,1,F:/UVLC_image_serial/lib\../simulation\processing\Mon_Dec__9_21_27_21_2019\lena_10_10.bmp
