,w1_pro,times,w1_drops_used,w2_drops_used
0,0.1,0,156,156
1,0.1,1,161,161
2,0.1,2,162,162
3,0.1,3,144,189
4,0.1,4,154,161
5,0.1,5,156,182
6,0.1,6,142,142
7,0.1,7,168,168
8,0.1,8,185,192
9,0.1,9,159,159
10,0.1,10,164,164
11,0.1,11,169,170
12,0.1,12,156,156
13,0.1,13,160,160
14,0.1,14,147,147
15,0.1,15,177,177
16,0.1,16,164,164
17,0.1,17,160,160
18,0.1,18,158,158
19,0.1,19,159,159
20,0.1,20,165,165
21,0.1,21,163,189
22,0.1,22,159,159
23,0.1,23,143,143
24,0.1,24,160,160
25,0.1,25,169,169
26,0.1,26,166,166
27,0.1,27,157,160
28,0.1,28,144,144
29,0.1,29,164,164
30,0.1,30,176,176
31,0.1,31,137,137
32,0.1,32,159,171
33,0.1,33,167,167
34,0.1,34,156,156
35,0.1,35,162,162
36,0.1,36,165,165
37,0.1,37,171,171
38,0.1,38,162,162
39,0.1,39,157,157
40,0.1,40,167,167
41,0.1,41,165,169
42,0.1,42,157,157
43,0.1,43,174,174
44,0.1,44,169,169
45,0.1,45,136,136
46,0.1,46,163,163
47,0.1,47,164,171
48,0.1,48,160,160
49,0.1,49,161,161
50,0.1,50,164,164
51,0.1,51,169,169
52,0.1,52,159,159
53,0.1,53,172,172
54,0.1,54,156,189
55,0.1,55,161,161
56,0.1,56,167,167
57,0.1,57,166,166
58,0.1,58,162,162
59,0.1,59,165,189
60,0.1,60,161,161
61,0.1,61,161,161
62,0.1,62,174,174
63,0.1,63,160,160
64,0.1,64,160,160
65,0.1,65,167,167
66,0.1,66,189,189
67,0.1,67,148,148
68,0.1,68,163,163
69,0.1,69,162,175
70,0.1,70,174,174
71,0.1,71,166,166
72,0.1,72,182,182
73,0.1,73,148,148
74,0.1,74,166,166
75,0.1,75,166,166
76,0.1,76,165,165
77,0.1,77,163,163
78,0.1,78,158,158
79,0.1,79,165,165
80,0.1,80,162,162
81,0.1,81,162,162
82,0.1,82,170,170
83,0.1,83,171,181
84,0.1,84,160,160
85,0.1,85,165,165
86,0.1,86,176,176
87,0.1,87,143,170
88,0.1,88,177,177
89,0.1,89,163,163
90,0.1,90,165,165
91,0.1,91,159,189
92,0.1,92,159,159
93,0.1,93,174,205
94,0.1,94,164,164
95,0.1,95,158,158
96,0.1,96,163,163
97,0.1,97,160,171
98,0.1,98,162,168
99,0.1,99,161,161
