,w1_pro,times,w1_drops_used,w2_drops_used
0,0,0,160,160
1,0,1,183,183
2,0,2,159,159
3,0,3,155,155
4,0,4,189,189
5,0,5,169,169
6,0,6,172,172
7,0,7,159,159
8,0,8,162,162
9,0,9,162,162
10,0,10,165,165
11,0,11,142,142
12,0,12,160,160
13,0,13,186,186
14,0,14,162,162
15,0,15,164,164
16,0,16,142,142
17,0,17,175,175
18,0,18,154,154
19,0,19,166,166
20,0,20,160,160
21,0,21,154,154
22,0,22,163,163
23,0,23,175,175
24,0,24,160,160
25,0,25,174,174
26,0,26,156,156
27,0,27,150,150
28,0,28,189,189
29,0,29,166,166
30,0,30,159,159
31,0,31,133,159
32,0,32,166,166
33,0,33,160,160
34,0,34,164,164
35,0,35,163,163
36,0,36,163,163
37,0,37,154,154
38,0,38,160,189
39,0,39,163,163
40,0,40,165,165
41,0,41,165,165
42,0,42,168,168
43,0,43,146,146
44,0,44,161,161
45,0,45,150,150
46,0,46,163,163
47,0,47,162,162
48,0,48,162,162
49,0,49,160,160
50,0,50,164,164
51,0,51,190,190
52,0,52,155,155
53,0,53,160,160
54,0,54,143,161
55,0,55,162,162
56,0,56,145,145
57,0,57,160,160
58,0,58,151,151
59,0,59,173,173
60,0,60,167,167
61,0,61,169,169
62,0,62,162,162
63,0,63,160,160
64,0,64,161,161
65,0,65,171,171
66,0,66,151,151
67,0,67,161,161
68,0,68,147,147
69,0,69,169,169
70,0,70,157,157
71,0,71,160,160
72,0,72,162,162
73,0,73,191,191
74,0,74,164,164
75,0,75,152,152
76,0,76,167,167
77,0,77,154,154
78,0,78,161,161
79,0,79,153,153
80,0,80,154,154
81,0,81,176,176
82,0,82,184,184
83,0,83,163,163
84,0,84,154,154
85,0,85,165,165
86,0,86,156,156
87,0,87,158,158
88,0,88,194,194
89,0,89,156,156
90,0,90,161,161
91,0,91,159,159
92,0,92,162,162
93,0,93,167,167
94,0,94,160,160
95,0,95,159,159
96,0,96,171,171
97,0,97,153,153
98,0,98,159,159
99,0,99,161,161
