,w1_pro,times,w1_drops_used,w2_drops_used
0,0.5,0,139,189
1,0.5,1,155,205
2,0.5,2,143,201
3,0.5,3,129,178
4,0.5,4,151,175
5,0.5,5,133,187
6,0.5,6,141,191
7,0.5,7,148,176
8,0.5,8,145,188
9,0.5,9,150,186
10,0.5,10,139,188
11,0.5,11,154,216
12,0.5,12,127,169
13,0.5,13,118,172
14,0.5,14,127,202
15,0.5,15,138,187
16,0.5,16,136,174
17,0.5,17,167,199
18,0.5,18,148,184
19,0.5,19,131,193
20,0.5,20,146,177
21,0.5,21,143,185
22,0.5,22,145,191
23,0.5,23,132,179
24,0.5,24,129,170
25,0.5,25,166,201
26,0.5,26,149,174
27,0.5,27,148,171
28,0.5,28,158,189
29,0.5,29,146,172
30,0.5,30,133,201
31,0.5,31,141,193
32,0.5,32,126,199
33,0.5,33,125,190
34,0.5,34,121,186
35,0.5,35,131,195
36,0.5,36,124,204
37,0.5,37,148,148
38,0.5,38,152,172
39,0.5,39,141,189
40,0.5,40,138,192
41,0.5,41,149,199
42,0.5,42,119,164
43,0.5,43,123,185
44,0.5,44,144,194
45,0.5,45,134,201
46,0.5,46,141,209
47,0.5,47,142,183
48,0.5,48,117,173
49,0.5,49,128,197
50,0.5,50,128,188
51,0.5,51,137,173
52,0.5,52,131,196
53,0.5,53,161,177
54,0.5,54,143,177
55,0.5,55,157,201
56,0.5,56,158,222
57,0.5,57,144,180
58,0.5,58,130,179
59,0.5,59,121,177
60,0.5,60,148,195
61,0.5,61,142,187
62,0.5,62,132,176
63,0.5,63,143,185
64,0.5,64,123,175
65,0.5,65,142,179
66,0.5,66,142,178
67,0.5,67,122,188
68,0.5,68,145,171
69,0.5,69,152,186
70,0.5,70,155,201
71,0.5,71,137,182
72,0.5,72,123,186
73,0.5,73,143,186
74,0.5,74,158,174
75,0.5,75,139,179
76,0.5,76,136,178
77,0.5,77,124,180
78,0.5,78,162,201
79,0.5,79,145,195
80,0.5,80,121,170
81,0.5,81,171,180
82,0.5,82,144,176
83,0.5,83,128,184
84,0.5,84,143,183
85,0.5,85,166,195
86,0.5,86,126,182
87,0.5,87,141,194
88,0.5,88,163,180
89,0.5,89,144,201
90,0.5,90,138,180
91,0.5,91,132,193
92,0.5,92,144,178
93,0.5,93,141,189
94,0.5,94,115,170
95,0.5,95,138,201
96,0.5,96,180,201
97,0.5,97,120,180
98,0.5,98,151,181
99,0.5,99,166,206
