,w1_pro,times,w1_drops_used,w2_drops_used
0,0,0,165,165
1,0,1,153,153
2,0,2,171,171
3,0,3,156,156
4,0,4,143,143
5,0,5,153,153
6,0,6,150,150
7,0,7,153,153
8,0,8,144,145
9,0,9,165,165
10,0,10,172,172
11,0,11,171,171
12,0,12,171,171
13,0,13,173,173
14,0,14,158,158
15,0,15,152,152
16,0,16,165,165
17,0,17,156,156
18,0,18,176,176
19,0,19,177,177
20,0,20,157,157
21,0,21,171,171
22,0,22,171,171
23,0,23,151,151
24,0,24,146,146
25,0,25,144,144
26,0,26,159,159
27,0,27,155,155
28,0,28,149,149
29,0,29,150,150
30,0,30,172,172
31,0,31,151,151
32,0,32,158,158
33,0,33,152,152
34,0,34,173,180
35,0,35,165,165
36,0,36,170,170
37,0,37,146,146
38,0,38,169,169
39,0,39,155,155
40,0,40,152,152
41,0,41,168,168
42,0,42,161,161
43,0,43,172,172
44,0,44,162,162
45,0,45,171,171
46,0,46,167,167
47,0,47,150,150
48,0,48,158,175
49,0,49,143,143
50,0,50,171,171
51,0,51,171,171
52,0,52,171,171
53,0,53,167,167
54,0,54,171,171
55,0,55,176,176
56,0,56,153,153
57,0,57,176,176
58,0,58,162,162
59,0,59,159,159
60,0,60,171,171
61,0,61,156,156
62,0,62,167,167
63,0,63,150,150
64,0,64,159,159
65,0,65,156,156
66,0,66,153,153
67,0,67,171,171
68,0,68,172,172
69,0,69,169,169
70,0,70,151,151
71,0,71,160,160
72,0,72,140,140
73,0,73,178,178
74,0,74,160,160
75,0,75,151,151
76,0,76,159,159
77,0,77,159,159
78,0,78,149,149
79,0,79,161,161
80,0,80,158,158
81,0,81,150,150
82,0,82,146,146
83,0,83,172,172
84,0,84,178,178
85,0,85,154,154
86,0,86,155,155
87,0,87,159,159
88,0,88,146,146
89,0,89,143,143
90,0,90,155,155
91,0,91,149,149
92,0,92,140,140
93,0,93,173,173
94,0,94,130,130
95,0,95,167,167
96,0,96,147,147
97,0,97,157,157
98,0,98,158,158
99,0,99,149,149
