,w1_pro,times,w1_drops_used,w2_drops_used
0,0.7,0,119,205
1,0.7,1,139,194
2,0.7,2,123,213
3,0.7,3,135,189
4,0.7,4,118,192
5,0.7,5,122,202
6,0.7,6,115,165
7,0.7,7,122,203
8,0.7,8,127,183
9,0.7,9,123,213
10,0.7,10,120,218
11,0.7,11,122,192
12,0.7,12,152,232
13,0.7,13,135,223
14,0.7,14,142,192
15,0.7,15,108,215
16,0.7,16,123,192
17,0.7,17,141,221
18,0.7,18,121,205
19,0.7,19,121,170
20,0.7,20,128,193
21,0.7,21,136,178
22,0.7,22,108,194
23,0.7,23,107,197
24,0.7,24,122,208
25,0.7,25,179,234
26,0.7,26,119,177
27,0.7,27,140,196
28,0.7,28,178,242
29,0.7,29,127,198
30,0.7,30,106,215
31,0.7,31,120,184
32,0.7,32,144,225
33,0.7,33,128,181
34,0.7,34,128,209
35,0.7,35,267,267
36,0.7,36,117,205
37,0.7,37,135,216
38,0.7,38,202,252
39,0.7,39,138,219
40,0.7,40,173,232
41,0.7,41,131,185
42,0.7,42,125,210
43,0.7,43,145,204
44,0.7,44,133,213
45,0.7,45,138,181
46,0.7,46,166,239
47,0.7,47,110,219
48,0.7,48,133,182
49,0.7,49,148,190
50,0.7,50,148,205
51,0.7,51,156,190
52,0.7,52,138,211
53,0.7,53,173,247
54,0.7,54,111,197
55,0.7,55,144,202
56,0.7,56,130,234
57,0.7,57,134,213
58,0.7,58,154,206
59,0.7,59,131,188
60,0.7,60,115,201
61,0.7,61,139,208
62,0.7,62,138,187
63,0.7,63,127,220
64,0.7,64,140,216
65,0.7,65,132,193
66,0.7,66,110,185
67,0.7,67,109,188
68,0.7,68,129,211
69,0.7,69,127,201
70,0.7,70,126,217
71,0.7,71,123,207
72,0.7,72,114,198
73,0.7,73,182,229
74,0.7,74,127,194
75,0.7,75,132,188
76,0.7,76,137,190
77,0.7,77,143,198
78,0.7,78,154,200
79,0.7,79,113,224
80,0.7,80,145,231
81,0.7,81,123,197
82,0.7,82,124,203
83,0.7,83,131,213
84,0.7,84,159,215
85,0.7,85,129,223
86,0.7,86,121,198
87,0.7,87,117,226
88,0.7,88,145,224
89,0.7,89,118,207
90,0.7,90,108,203
91,0.7,91,165,236
92,0.7,92,109,218
93,0.7,93,120,214
94,0.7,94,151,216
95,0.7,95,133,187
96,0.7,96,136,220
97,0.7,97,132,188
98,0.7,98,119,181
99,0.7,99,157,200
