,w1_pro,times,w1_drops_used,w2_drops_used
0,0,0,170,170
1,0,1,162,162
2,0,2,169,169
3,0,3,173,173
4,0,4,163,163
5,0,5,143,143
6,0,6,279,279
7,0,7,150,150
8,0,8,138,138
9,0,9,160,160
10,0,10,171,171
11,0,11,168,168
12,0,12,189,189
13,0,13,167,167
14,0,14,157,157
15,0,15,220,220
16,0,16,160,160
17,0,17,138,138
18,0,18,150,150
19,0,19,167,167
20,0,20,168,168
21,0,21,170,170
22,0,22,201,201
23,0,23,191,191
24,0,24,157,157
25,0,25,155,155
26,0,26,178,178
27,0,27,150,150
28,0,28,148,148
29,0,29,183,183
30,0,30,170,170
31,0,31,158,158
32,0,32,180,180
33,0,33,152,152
34,0,34,183,183
35,0,35,158,158
36,0,36,153,153
37,0,37,163,163
38,0,38,148,148
39,0,39,155,155
40,0,40,216,216
41,0,41,174,174
42,0,42,160,160
43,0,43,165,165
44,0,44,151,151
45,0,45,155,155
46,0,46,158,158
47,0,47,151,151
48,0,48,195,195
49,0,49,184,184
50,0,50,155,155
51,0,51,198,198
52,0,52,171,171
53,0,53,173,173
54,0,54,296,296
55,0,55,158,158
56,0,56,180,180
57,0,57,156,156
58,0,58,174,174
59,0,59,181,181
60,0,60,152,152
61,0,61,195,195
62,0,62,166,166
63,0,63,163,163
64,0,64,156,156
65,0,65,144,144
66,0,66,159,159
67,0,67,154,154
68,0,68,218,218
69,0,69,187,187
70,0,70,167,167
71,0,71,185,185
72,0,72,182,182
73,0,73,166,166
74,0,74,161,161
75,0,75,166,166
76,0,76,171,171
77,0,77,159,159
78,0,78,163,163
79,0,79,163,163
80,0,80,171,171
81,0,81,160,160
82,0,82,192,192
83,0,83,158,158
84,0,84,144,144
85,0,85,179,179
86,0,86,175,175
87,0,87,161,161
88,0,88,186,186
89,0,89,163,163
90,0,90,180,180
91,0,91,185,185
92,0,92,178,178
93,0,93,137,137
94,0,94,155,155
95,0,95,184,184
96,0,96,146,146
97,0,97,173,173
98,0,98,153,153
99,0,99,195,195
