,w1_pro,times,w1_drops_used,w2_drops_used
0,0.4,0,155,155
1,0.4,1,139,186
2,0.4,2,158,163
3,0.4,3,212,212
4,0.4,4,160,179
5,0.4,5,161,257
6,0.4,6,135,299
7,0.4,7,144,183
8,0.4,8,176,222
9,0.4,9,173,173
10,0.4,10,202,202
11,0.4,11,165,165
12,0.4,12,169,174
13,0.4,13,140,142
14,0.4,14,161,161
15,0.4,15,145,229
16,0.4,16,140,235
17,0.4,17,142,152
18,0.4,18,164,164
19,0.4,19,149,178
20,0.4,20,145,295
21,0.4,21,169,244
22,0.4,22,201,201
23,0.4,23,188,188
24,0.4,24,143,176
25,0.4,25,130,215
26,0.4,26,155,206
27,0.4,27,158,158
28,0.4,28,154,298
29,0.4,29,151,219
30,0.4,30,145,199
31,0.4,31,152,224
32,0.4,32,142,291
33,0.4,33,162,162
34,0.4,34,152,173
35,0.4,35,140,168
36,0.4,36,164,164
37,0.4,37,178,185
38,0.4,38,203,203
39,0.4,39,183,281
40,0.4,40,142,205
41,0.4,41,180,180
42,0.4,42,181,222
43,0.4,43,178,233
44,0.4,44,175,175
45,0.4,45,156,199
46,0.4,46,165,165
47,0.4,47,178,178
48,0.4,48,170,170
49,0.4,49,173,200
50,0.4,50,169,183
51,0.4,51,210,210
52,0.4,52,152,152
53,0.4,53,193,193
54,0.4,54,147,165
55,0.4,55,132,242
56,0.4,56,170,170
57,0.4,57,146,198
58,0.4,58,159,209
59,0.4,59,132,204
60,0.4,60,157,163
61,0.4,61,186,186
62,0.4,62,151,204
63,0.4,63,157,160
64,0.4,64,153,160
65,0.4,65,169,212
66,0.4,66,165,204
67,0.4,67,142,185
68,0.4,68,164,186
69,0.4,69,167,229
70,0.4,70,152,193
71,0.4,71,162,169
72,0.4,72,153,153
73,0.4,73,158,199
74,0.4,74,160,160
75,0.4,75,176,176
76,0.4,76,147,147
77,0.4,77,200,200
78,0.4,78,140,183
79,0.4,79,176,176
80,0.4,80,157,171
81,0.4,81,156,172
82,0.4,82,169,169
83,0.4,83,149,208
84,0.4,84,148,213
85,0.4,85,159,161
86,0.4,86,145,200
87,0.4,87,161,161
88,0.4,88,152,205
89,0.4,89,138,227
90,0.4,90,144,158
91,0.4,91,152,160
92,0.4,92,195,207
93,0.4,93,158,158
94,0.4,94,163,212
95,0.4,95,171,284
96,0.4,96,172,172
97,0.4,97,160,178
98,0.4,98,196,196
99,0.4,99,147,236
,,,16140,19427
