,w1_pro,times,w1_drops_used,w2_drops_used
0,0,0,201,201
1,0,1,194,194
2,0,2,158,158
3,0,3,158,158
4,0,4,162,162
5,0,5,189,189
6,0,6,176,176
7,0,7,185,185
8,0,8,170,170
9,0,9,152,152
10,0,10,158,158
11,0,11,174,174
12,0,12,160,160
13,0,13,206,206
14,0,14,156,156
15,0,15,188,188
16,0,16,181,181
17,0,17,169,169
18,0,18,157,157
19,0,19,161,161
20,0,20,157,157
21,0,21,165,165
22,0,22,184,184
23,0,23,151,151
24,0,24,135,135
25,0,25,201,201
26,0,26,156,156
27,0,27,154,154
28,0,28,162,162
29,0,29,154,154
30,0,30,175,175
31,0,31,177,177
32,0,32,146,146
33,0,33,205,205
34,0,34,192,192
35,0,35,163,163
36,0,36,165,165
37,0,37,186,186
38,0,38,170,170
39,0,39,157,157
40,0,40,183,183
41,0,41,156,156
42,0,42,159,159
43,0,43,165,165
44,0,44,147,147
45,0,45,166,166
46,0,46,162,162
47,0,47,157,157
48,0,48,181,181
49,0,49,154,154
50,0,50,156,156
51,0,51,167,167
52,0,52,172,172
53,0,53,162,162
54,0,54,155,155
55,0,55,202,202
56,0,56,168,168
57,0,57,155,155
58,0,58,157,157
59,0,59,150,150
60,0,60,154,154
61,0,61,164,164
62,0,62,213,213
63,0,63,154,154
64,0,64,189,189
65,0,65,169,169
66,0,66,161,161
67,0,67,165,165
68,0,68,153,153
69,0,69,168,168
70,0,70,214,214
71,0,71,171,171
72,0,72,184,184
73,0,73,167,167
74,0,74,162,162
75,0,75,157,157
76,0,76,178,178
77,0,77,163,163
78,0,78,189,189
79,0,79,168,168
80,0,80,152,152
81,0,81,164,164
82,0,82,189,189
83,0,83,162,162
84,0,84,152,152
85,0,85,158,158
86,0,86,156,156
87,0,87,175,175
88,0,88,148,148
89,0,89,152,152
90,0,90,170,170
91,0,91,180,180
92,0,92,173,173
93,0,93,191,191
94,0,94,155,155
95,0,95,152,152
96,0,96,164,164
97,0,97,147,147
98,0,98,212,212
99,0,99,166,166
,,,168.45,16845
