,w1_pro,times,w1_drops_used,w2_drops_used
0,0.1,0,154,172
1,0.1,1,160,160
2,0.1,2,197,197
3,0.1,3,196,196
4,0.1,4,217,217
5,0.1,5,166,166
6,0.1,6,183,183
7,0.1,7,151,170
8,0.1,8,153,153
9,0.1,9,191,191
10,0.1,10,181,181
11,0.1,11,159,159
12,0.1,12,171,171
13,0.1,13,154,154
14,0.1,14,147,147
15,0.1,15,150,150
16,0.1,16,174,174
17,0.1,17,175,175
18,0.1,18,159,159
19,0.1,19,158,180
20,0.1,20,185,185
21,0.1,21,151,151
22,0.1,22,176,176
23,0.1,23,185,185
24,0.1,24,151,151
25,0.1,25,189,189
26,0.1,26,162,162
27,0.1,27,203,203
28,0.1,28,154,154
29,0.1,29,164,167
30,0.1,30,200,200
31,0.1,31,149,149
32,0.1,32,153,153
33,0.1,33,156,156
34,0.1,34,150,150
35,0.1,35,200,200
36,0.1,36,206,206
37,0.1,37,156,156
38,0.1,38,167,167
39,0.1,39,169,169
40,0.1,40,175,175
41,0.1,41,151,151
42,0.1,42,208,208
43,0.1,43,239,239
44,0.1,44,159,159
45,0.1,45,181,181
46,0.1,46,184,184
47,0.1,47,145,165
48,0.1,48,168,168
49,0.1,49,165,165
50,0.1,50,166,166
51,0.1,51,134,153
52,0.1,52,172,172
53,0.1,53,162,162
54,0.1,54,148,152
55,0.1,55,169,169
56,0.1,56,172,191
57,0.1,57,219,226
58,0.1,58,163,163
59,0.1,59,179,179
60,0.1,60,211,211
61,0.1,61,187,187
62,0.1,62,139,139
63,0.1,63,154,154
64,0.1,64,208,208
65,0.1,65,176,176
66,0.1,66,168,168
67,0.1,67,213,232
68,0.1,68,152,152
69,0.1,69,157,157
70,0.1,70,185,185
71,0.1,71,172,172
72,0.1,72,174,174
73,0.1,73,198,198
74,0.1,74,185,185
75,0.1,75,149,149
76,0.1,76,234,234
77,0.1,77,162,162
78,0.1,78,180,180
79,0.1,79,159,159
80,0.1,80,168,168
81,0.1,81,139,139
82,0.1,82,175,194
83,0.1,83,152,152
84,0.1,84,212,212
85,0.1,85,190,209
86,0.1,86,160,179
87,0.1,87,178,178
88,0.1,88,159,159
89,0.1,89,188,188
90,0.1,90,160,160
91,0.1,91,137,156
92,0.1,92,148,148
93,0.1,93,158,158
94,0.1,94,159,159
95,0.1,95,149,149
96,0.1,96,150,150
97,0.1,97,159,159
98,0.1,98,148,148
99,0.1,99,176,176
